sim_time_s,wall_time_s,dist_from_start_m,dist_raced_m,race_lap,cur_lap_time_s,last_lap_time_s,total_speed_mps,speed_body_x_mps,speed_body_y_mps,speed_body_z_mps,angle_rad,track_pos,damage,fuel_l,gear,engine_rpm,race_pos,pos_z_m,fr_spin_vel_rad_s,fl_spin_vel_rad_s,rr_spin_vel_rad_s,rl_spin_vel_rad_s,fr_tire_wear,fl_tire_wear,rr_tire_wear,rl_tire_wear,fr_tire_temp_c,fl_tire_temp_c,rr_tire_temp_c,rl_tire_temp_c,fr_tire_pressure_kpa,fl_tire_pressure_kpa,rr_tire_pressure_kpa,rl_tire_pressure_kpa,fr_tire_graining,fl_tire_graining,rr_tire_graining,rl_tire_graining,opp_nearest_m,track_beam_00_m,track_beam_01_m,track_beam_02_m,track_beam_03_m,track_beam_04_m,track_beam_05_m,track_beam_06_m,track_beam_07_m,track_beam_08_m,track_beam_09_m,track_beam_10_m,track_beam_11_m,track_beam_12_m,track_beam_13_m,track_beam_14_m,track_beam_15_m,track_beam_16_m,track_beam_17_m,track_beam_18_m,accel_cmd,brake_cmd,steer_cmd,gear_cmd,clutch_cmd
9.432,9107872.524,5759.099,-24.99854,1,9.43,0.0,0.0009,0.0007,-0.0005,0.0,0.01671982,0.0,0.0,100.0,0.0,5235.988,1.0,0.2930276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,20.0,20.0,237.0,237.0,224.0,224.0,0.0,0.0,0.0,0.0,200.0,5.500854,5.601685,5.888012,6.409716,7.272966,8.706945,11.25998,16.56992,31.76072,200.0,31.57647,15.60219,10.74985,8.411379,7.089763,6.294496,5.819532,5.569458,5.500732,1.0,0.0,0.021288340433767337,1,0.0
9.452,9107872.542,5759.099,-24.99854,1,9.45,0.0,0.0009,0.0007,0.0006,-0.0,0.01685238,0.0,0.0,100.0,1.0,5235.988,1.0,0.2930276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,20.0,20.0,237.0,237.0,224.0,224.0,0.0,0.0,0.0,0.0,200.0,5.500732,5.601807,5.888479,6.410169,7.273956,8.708655,11.26288,16.57604,31.78239,200.0,31.55124,15.59673,10.74749,8.409963,7.089236,6.294024,5.819293,5.569336,5.500732,1.0,0.0,0.021457121102931253,1,0.0
9.472,9107872.564,5759.099,-24.99854,1,9.47,0.0,0.0013,0.0013,0.0003,0.0,0.01663399,0.0,0.0,100.0,1.0,5250.848,1.0,0.2930276,-0.4385741,0.4343456,-0.7737371,0.7758239,9.301714e-08,9.321621e-08,1.748981e-07,1.752317e-07,20.00003,20.00003,20.00021,20.00021,237.0,237.0,224.0002,224.0002,2.750886e-13,2.763151e-13,9.665521e-13,9.700741e-13,200.0,5.500732,5.601685,5.887913,6.409235,7.272471,8.70618,11.25846,16.56613,31.74694,200.0,31.59445,15.60621,10.75157,8.412234,7.090442,6.294787,5.819896,5.56958,5.500732,1.0,0.0,0.02117905826090721,1,0.0
9.492,9107872.583,5759.099,-24.99854,1,9.49,0.0,0.0026,0.002,0.0017,0.0,0.01660872,0.0,0.0,100.0,1.0,5235.988,1.0,0.2930276,0.2683966,-0.2883421,1.358757,-0.1932074,1.927558e-07,1.929423e-07,4.079897e-07,4.090933e-07,20.00003,20.00003,20.00049,20.00049,237.0,237.0,224.0004,224.0004,1.111971e-12,1.113318e-12,4.952788e-12,4.976883e-12,200.0,5.500732,5.601685,5.887993,6.409257,7.2723,8.706356,11.25801,16.56444,31.74272,200.0,31.59981,15.60709,10.75188,8.412353,7.090473,6.294862,5.819859,5.569458,5.500854,1.0,0.0,0.02114688349091798,1,0.0
9.512,9107872.602,5759.099,-24.99805,1,9.51,0.0,0.0903,0.0903,0.0029,0.0004,0.01655054,-2.21946e-05,0.0,99.99977,1.0,5235.988,1.0,0.2930279,0.3686135,0.4144276,8.655661,8.630309,3.270179e-07,2.811602e-07,1.810668e-06,1.825289e-06,20.00009,20.00003,20.00192,20.00195,237.0001,237.0,224.0015,224.0015,3.147941e-12,2.317879e-12,9.961881e-11,1.009989e-10,200.0,5.500854,5.601685,5.88796,6.409089,7.272316,8.705702,11.25694,16.56249,31.73377,200.0,31.61002,15.60936,10.75255,8.412711,7.090676,6.295121,5.81981,5.569458,5.50061,1.0,0.0,0.021086935922933335,1,0.0
9.532,9107872.649,5759.103,-24.99463,1,9.53,0.0,0.2213,0.2213,0.0009,0.0019,0.01657391,-2.21946e-05,0.0,99.99954,1.0,5235.988,1.0,0.2930408,0.3000494,0.3104249,15.3157,15.29001,3.894326e-07,3.524762e-07,5.51681e-06,5.522356e-06,20.00009,20.00006,20.00583,20.00586,237.0001,237.0001,224.0045,224.0045,4.423441e-12,3.60961e-12,9.031936e-10,9.046091e-10,200.0,5.500977,5.601685,5.887909,6.409135,7.272295,8.705696,11.25733,16.56364,31.73731,200.0,31.60742,15.60838,10.75225,8.412429,7.090543,6.294909,5.819731,5.569458,5.50061,1.0,0.0,0.02111669153728428,1,0.0
9.552,9107872.649,5759.107,-24.98975,1,9.55,0.0,0.344,0.3439,0.0025,0.0037,0.01656389,-6.658381e-05,0.0,99.99931,1.0,5235.988,1.0,0.2930834,0.8986372,0.9213325,21.78704,21.76267,4.66043e-07,4.209517e-07,1.157341e-05,1.156961e-05,20.00015,20.00012,20.01221,20.01224,237.0001,237.0001,224.0093,224.0093,6.296176e-12,5.126765e-12,3.918313e-09,3.915218e-09,200.0,5.500977,5.602051,5.888346,6.409318,7.272512,8.706009,11.25777,16.56367,31.73685,200.0,31.6079,15.60805,10.75221,8.412153,7.090445,6.29444,5.81963,5.569092,5.500366,1.0,0.0,0.02113219272903674,1,0.0
9.592,9107872.698,5759.126,-24.9707,1,9.59,0.0,0.5928,0.5928,0.0015,0.0056,0.01650286,-0.0001997514,0.0,99.99882,1.0,6256.497,1.0,0.2932451,2.016689,2.272878,35.22845,35.20575,5.833545e-07,5.260885e-07,3.072028e-05,3.069907e-05,20.00015,20.00012,20.03244,20.03247,237.0001,237.0001,224.0248,224.0248,9.784333e-12,7.94768e-12,2.720921e-08,2.717103e-08,200.0,5.501709,5.602661,5.888851,6.410108,7.273074,8.706825,11.25815,16.56297,31.72899,200.0,31.61684,15.60843,10.7517,8.41169,7.089804,6.293942,5.81903,5.568481,5.499512,1.0,0.0,0.021139264041925242,1,0.0
9.612,9107872.702,5759.14,-24.95703,1,9.61,0.0,0.7308,0.7308,0.0019,0.005,0.01647472,-0.0002663352,0.0,99.99836,1.0,8217.801,1.0,0.2933304,2.263947,2.035343,46.15193,46.14079,6.272488e-07,5.707774e-07,4.434826e-05,4.431953e-05,20.00015,20.00012,20.04681,20.04684,237.0001,237.0001,224.0358,224.0358,1.128603e-11,9.333576e-12,5.648597e-08,5.641221e-08,200.0,5.502319,5.602905,5.889231,6.41046,7.273485,8.706979,11.25821,16.56236,31.72592,200.0,31.62002,15.60876,10.75141,8.411311,7.089455,6.293576,5.818527,5.568237,5.499268,1.0,0.0,0.021145823646100452,2,0.0
9.652,9107872.751,5759.174,-24.92285,1,9.65,0.0,0.9741,0.9741,0.0023,0.0012,0.01633358,-0.0004660866,0.0,99.99745,2.0,8386.114,1.0,0.2933991,3.41204,3.582328,58.43432,58.43439,7.291279e-07,6.775651e-07,8.266857e-05,8.26391e-05,20.00015,20.00012,20.08725,20.08725,237.0001,237.0001,224.0667,224.0667,1.519207e-11,1.310428e-11,1.95287e-07,1.951478e-07,200.0,5.503296,5.604004,5.89012,6.411227,7.27404,8.707129,11.25746,16.55934,31.70593,200.0,31.64495,15.61185,10.75178,8.410847,7.08864,6.292826,5.817552,5.567261,5.498291,1.0,0.0,0.021093284296624132,3,0.0
9.692,9107872.803,5759.219,-24.87793,1,9.69,0.0,1.2327,1.2327,0.0023,-0.0005,0.01617432,-0.0007546165,0.0,99.99745,3.0,5240.445,1.0,0.2933199,4.143855,3.867708,46.30476,46.30522,8.445342e-07,7.960223e-07,0.0001172309,0.0001172024,20.00021,20.00018,20.12375,20.12375,237.0002,237.0001,224.0946,224.0946,2.032456e-11,1.80391e-11,3.909155e-07,3.907253e-07,200.0,5.504883,5.605469,5.891409,6.412316,7.275055,8.707704,11.25744,16.55589,31.68455,200.0,31.67071,15.61485,10.75165,8.410403,7.087732,6.291571,5.816288,5.565796,5.496582,1.0,0.0,0.02107419200201681,3,0.0
9.712,9107872.803,5759.245,-24.85205,1,9.71,0.0,1.3626,1.3626,0.0032,-0.0,0.0160737,-0.0009099787,0.0,99.99745,3.0,5255.307,1.0,0.2932644,4.16135,4.074032,40.00803,40.00857,9.011109e-07,8.514336e-07,0.0001315184,0.0001314883,20.00027,20.00027,20.13885,20.13885,237.0002,237.0002,224.1061,224.1061,2.311367e-11,2.06188e-11,4.912108e-07,4.909859e-07,200.0,5.505737,5.606201,5.892113,6.413,7.275469,8.708084,11.25724,16.55341,31.67096,200.0,31.68583,15.61701,10.75201,8.410043,7.087134,6.291031,5.815681,5.564941,5.495728,1.0,0.0,0.0210449852813478,3,0.0
9.732,9107872.856,5759.274,-24.82324,1,9.73,0.0,1.4875,1.4875,0.0035,0.0009,0.01596212,-0.001065341,0.0,99.99745,3.0,5270.173,1.0,0.2932169,4.514724,4.425719,33.69658,33.69707,9.587101e-07,9.135016e-07,0.0001437744,0.0001437449,20.00037,20.00037,20.15176,20.15176,237.0003,237.0003,224.116,224.116,2.613903e-11,2.37122e-11,5.862804e-07,5.860393e-07,200.0,5.50647,5.606934,5.892794,6.413538,7.276237,8.708304,11.25653,16.55073,31.65561,200.0,31.70529,15.61888,10.75229,8.409665,7.086679,6.290449,5.81489,5.564087,5.494873,1.0,0.0,0.021001823916027285,3,0.0
9.752,9107872.856,5759.305,-24.79199,1,9.75,0.0,1.6101,1.6101,0.0038,0.002,0.01583576,-0.00110973,0.0,99.99745,3.0,5235.988,1.0,0.2931836,4.927015,5.125893,28.08192,28.08293,1.018336e-06,9.703634e-07,0.0001540644,0.0001540349,20.00055,20.00055,20.16263,20.16263,237.0005,237.0005,224.1243,224.1243,2.946657e-11,2.67372e-11,6.725323e-07,6.722749e-07,200.0,5.506836,5.607178,5.892572,6.413231,7.275378,8.707225,11.2542,16.54495,31.63375,200.0,31.73356,15.6243,10.75438,8.410562,7.087047,6.290509,5.814842,5.564087,5.494507,1.0,0.0,0.02086919625463778,3,0.0
9.772,9107872.863,5759.338,-24.75879,1,9.77,0.0,1.731,1.731,0.0039,0.003,0.01570511,-0.00110973,0.0,99.99722,3.0,5235.988,1.0,0.2931654,5.665388,5.763259,29.66235,29.66373,1.074116e-06,1.028399e-06,0.0001635846,0.000163555,20.00073,20.00073,20.17267,20.17267,237.0006,237.0006,224.1319,224.1319,3.27601e-11,3.001072e-11,7.575849e-07,7.573107e-07,200.0,5.506714,5.606812,5.892278,6.412868,7.274642,8.705798,11.25171,16.5386,31.6098,200.0,31.76205,15.63003,10.75675,8.411986,7.087898,6.290907,5.815193,5.564209,5.494507,1.0,0.0,0.02070284747351025,3,0.0
