sim_time_s,wall_time_s,dist_from_start_m,dist_raced_m,race_lap,race_finished,cur_lap_time_s,last_lap_time_s,total_speed_mps,speed_body_x_mps,speed_body_y_mps,speed_body_z_mps,angle_rad,track_pos,damage,fuel_l,gear,engine_rpm,race_pos,pos_z_m,fr_spin_vel_rad_s,fl_spin_vel_rad_s,rr_spin_vel_rad_s,rl_spin_vel_rad_s,fr_tire_wear,fl_tire_wear,rr_tire_wear,rl_tire_wear,fr_tire_temp_c,fl_tire_temp_c,rr_tire_temp_c,rl_tire_temp_c,fr_tire_pressure_kpa,fl_tire_pressure_kpa,rr_tire_pressure_kpa,rl_tire_pressure_kpa,fr_tire_graining,fl_tire_graining,rr_tire_graining,rl_tire_graining,opp_nearest_m,track_beam_00_m,track_beam_01_m,track_beam_02_m,track_beam_03_m,track_beam_04_m,track_beam_05_m,track_beam_06_m,track_beam_07_m,track_beam_08_m,track_beam_09_m,track_beam_10_m,track_beam_11_m,track_beam_12_m,track_beam_13_m,track_beam_14_m,track_beam_15_m,track_beam_16_m,track_beam_17_m,track_beam_18_m,accel_cmd,brake_cmd,steer_cmd,gear_cmd,clutch_cmd
8.072,9108593.175,5759.099,-24.99854,1,0,8.07,0.0,0.0009,0.0007,-0.0005,0.0,0.01395321,0.0,0.0,100.0,0.0,5235.988,1.0,0.2930274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,20.0,20.0,237.0,237.0,224.0,224.0,0.0,0.0,0.0,0.0,200.0,5.500488,5.598755,5.881827,6.399082,7.255692,8.678003,11.20547,16.44368,31.3134,200.0,32.1359,15.72022,10.80062,8.438461,7.105916,6.304266,5.825214,5.572021,5.50061,1.0,0.0,0.01776578244406021,1,0.0
8.092,9108593.191,5759.099,-24.99854,1,0,8.09,0.0,0.0009,0.0007,0.0006,0.0,0.01408911,0.0,0.0,100.0,1.0,5235.988,1.0,0.2930274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,20.0,20.0,237.0,237.0,224.0,224.0,0.0,0.0,0.0,0.0,200.0,5.500488,5.598999,5.882216,6.399627,7.256525,8.679511,11.20792,16.44987,31.33515,200.0,32.10762,15.71437,10.79809,8.436934,7.10504,6.303802,5.824862,5.571899,5.50061,1.0,0.0,0.01793881573418827,1,0.0
8.112,9108593.211,5759.099,-24.99854,1,0,8.11,0.0,0.0013,0.0013,0.0003,0.0,0.01387262,0.0,0.0,100.0,1.0,5250.848,1.0,0.2930274,-0.4386709,0.4343492,-0.7739664,0.7755412,9.302622e-08,9.322192e-08,1.749074e-07,1.752418e-07,20.00003,20.00003,20.00021,20.00021,237.0,237.0,224.0002,224.0002,2.751371e-13,2.763572e-13,9.66656e-13,9.701894e-13,200.0,5.500488,5.598755,5.881792,6.398819,7.255162,8.677155,11.20346,16.44011,31.30064,200.0,32.15274,15.72391,10.80183,8.439101,7.1064,6.304594,5.82543,5.572021,5.500488,1.0,0.0,0.017663172047802517,1,0.0
8.132,9108593.232,5759.099,-24.99854,1,0,8.13,0.0,0.0027,0.002,0.0017,0.0001,0.01384735,0.0,0.0,100.0,1.0,5235.988,1.0,0.2930279,0.2681693,-0.2882995,1.358456,-0.1933965,1.927645e-07,1.92946e-07,4.079922e-07,4.090886e-07,20.00003,20.00003,20.00049,20.00049,237.0,237.0,224.0004,224.0004,1.112079e-12,1.11337e-12,4.95283e-12,4.976755e-12,200.0,5.50061,5.598755,5.881767,6.398603,7.254931,8.676907,11.20338,16.43857,31.29575,200.0,32.15829,15.7252,10.80262,8.439527,7.106555,6.304555,5.825413,5.572144,5.50061,1.0,0.0,0.017630997277813285,1,0.0
8.152,9108593.251,5759.099,-24.99805,1,0,8.15,0.0,0.0903,0.0903,0.0029,0.0004,0.01378965,-2.21946e-05,0.0,99.99977,1.0,5235.988,1.0,0.2930284,0.3686858,0.4142837,8.655726,8.630032,3.270112e-07,2.811497e-07,1.810617e-06,1.825258e-06,20.00012,20.00003,20.00192,20.00195,237.0001,237.0,224.0015,224.0015,3.147807e-12,2.317714e-12,9.961352e-11,1.009957e-10,200.0,5.500732,5.598755,5.881719,6.398549,7.254761,8.676434,11.20237,16.43629,31.28707,200.0,32.16791,15.72705,10.80336,8.43977,7.106894,6.304704,5.825399,5.571899,5.500366,1.0,0.0,0.017571660864937267,1,0.0
8.172,9108593.271,5759.103,-24.99463,1,0,8.17,0.0,0.2212,0.2212,0.0009,0.0019,0.0138154,-2.21946e-05,0.0,99.99954,1.0,5235.988,1.0,0.2930415,0.3101784,0.3062574,15.31594,15.2899,3.892636e-07,3.519443e-07,5.516458e-06,5.522191e-06,20.00012,20.00006,20.00583,20.00586,237.0001,237.0001,224.0045,224.0045,4.419671e-12,3.598807e-12,9.030776e-10,9.045557e-10,200.0,5.50061,5.598755,5.881929,6.398793,7.25501,8.676528,11.2028,16.43842,31.29162,200.0,32.16393,15.7259,10.80265,8.439569,7.10655,6.304533,5.825416,5.572021,5.500488,1.0,0.0,0.017604446790035116,1,0.0
8.192,9108593.291,5759.107,-24.98975,1,0,8.19,0.0,0.3452,0.3452,0.0012,0.0037,0.01381063,-6.658381e-05,0.0,99.99931,1.0,5235.988,1.0,0.2930841,0.9103765,0.7626934,21.78679,21.76217,4.576944e-07,4.206472e-07,1.157412e-05,1.157031e-05,20.00018,20.00012,20.01221,20.01224,237.0001,237.0001,224.0093,224.0093,6.077385e-12,5.118469e-12,3.918811e-09,3.915706e-09,200.0,5.500977,5.598999,5.881951,6.398901,7.255404,8.677107,11.20341,16.43855,31.29186,200.0,32.16354,15.72548,10.80234,8.439213,7.10628,6.3044,5.825165,5.571655,5.500122,1.0,0.0,0.01762663249078811,1,0.0
8.212,9108593.312,5759.116,-24.98145,1,0,8.21,0.0,0.4751,0.4751,0.0022,0.0051,0.01376581,-0.000110973,0.0,99.99908,1.0,5235.988,1.0,0.2931564,0.9990633,1.036172,28.13571,28.11225,5.13689e-07,4.849357e-07,1.99918e-05,1.997859e-05,20.00018,20.00018,20.02112,20.02115,237.0001,237.0001,224.0161,224.0162,7.61822e-12,6.774231e-12,1.15901e-08,1.157418e-08,200.0,5.501221,5.599243,5.882318,6.399025,7.255401,8.67717,11.20284,16.43709,31.28585,200.0,32.17289,15.72662,10.80259,8.43937,7.106277,6.304039,5.824901,5.571411,5.5,1.0,0.0,0.017597824924433215,1,0.0
8.232,9108593.332,5759.127,-24.96973,1,0,8.23,0.0,0.5985,0.5985,0.0003,0.0056,0.01374531,-0.0001997514,0.0,99.99882,1.0,6256.667,1.0,0.2932456,1.976102,1.592493,35.22937,35.20667,5.708004e-07,5.480757e-07,3.071806e-05,3.069626e-05,20.00018,20.00018,20.03247,20.0325,237.0001,237.0001,224.0248,224.0248,9.373002e-12,8.624344e-12,2.720525e-08,2.716601e-08,200.0,5.501587,5.599609,5.882676,6.399527,7.256083,8.677515,11.20343,16.43704,31.28467,200.0,32.17395,15.72644,10.80194,8.438768,7.105736,6.303745,5.824272,5.571045,5.49939,1.0,0.0,0.017628241604893315,1,0.0
8.252,9108593.351,5759.14,-24.95703,1,0,8.25,0.0,0.7211,0.7211,0.0018,0.005,0.0136981,-0.0002663352,0.0,99.99836,1.0,8217.712,1.0,0.2933311,2.702925,2.696139,46.1515,46.14033,6.153869e-07,5.924261e-07,4.435027e-05,4.432104e-05,20.00018,20.00018,20.04688,20.04691,237.0001,237.0001,224.0358,224.0358,1.086843e-11,1.005405e-11,5.649117e-08,5.641611e-08,200.0,5.501953,5.599976,5.882847,6.399883,7.256159,8.677481,11.20317,16.43605,31.2772,200.0,32.18224,15.72752,10.80204,8.438545,7.10558,6.303475,5.824262,5.570679,5.499146,1.0,0.0,0.017610520525898968,2,0.0
