sim_time_s,wall_time_s,dist_from_start_m,dist_raced_m,race_lap,race_finished,capture_lap_closed,cur_lap_time_s,last_lap_time_s,total_speed_mps,speed_body_x_mps,speed_body_y_mps,speed_body_z_mps,angle_rad,track_pos,damage,fuel_l,gear,engine_rpm,race_pos,pos_z_m,fr_spin_vel_rad_s,fl_spin_vel_rad_s,rr_spin_vel_rad_s,rl_spin_vel_rad_s,fr_tire_wear,fl_tire_wear,rr_tire_wear,rl_tire_wear,fr_tire_temp_c,fl_tire_temp_c,rr_tire_temp_c,rl_tire_temp_c,fr_tire_pressure_kpa,fl_tire_pressure_kpa,rr_tire_pressure_kpa,rl_tire_pressure_kpa,fr_tire_graining,fl_tire_graining,rr_tire_graining,rl_tire_graining,opp_nearest_m,track_beam_00_m,track_beam_01_m,track_beam_02_m,track_beam_03_m,track_beam_04_m,track_beam_05_m,track_beam_06_m,track_beam_07_m,track_beam_08_m,track_beam_09_m,track_beam_10_m,track_beam_11_m,track_beam_12_m,track_beam_13_m,track_beam_14_m,track_beam_15_m,track_beam_16_m,track_beam_17_m,track_beam_18_m,accel_cmd,brake_cmd,steer_cmd,gear_cmd,clutch_cmd
12.892,9109412.102,5759.099,-24.99854,1,0,0,12.89,0.0,0.0009,0.0007,0.0006,0.0,0.02389002,0.0,0.0,100.0,0.0,5235.988,1.0,0.2930276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,20.0,20.0,237.0,237.0,224.0,224.0,0.0,0.0,0.0,0.0,200.0,5.501465,5.609741,5.904484,6.43715,7.318441,8.784362,11.40494,16.90645,32.98307,200.0,30.21849,15.30531,10.62113,8.341902,7.048907,6.26953,5.805224,5.563232,5.501587,1.0,0.0,0.03041772451674183,1,0.0
12.912,9109412.118,5759.099,-24.99854,1,0,0,12.91,0.0,0.0009,0.0007,-0.0005,-0.0,0.02383566,0.0,0.0,100.0,1.0,5235.988,1.0,0.2930276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,20.0,20.0,237.0,237.0,224.0,224.0,0.0,0.0,0.0,0.0,200.0,5.501587,5.609619,5.904312,6.437212,7.318181,8.783569,11.40399,16.90352,32.97345,200.0,30.2284,15.30782,10.62202,8.34236,7.04923,6.269528,5.805554,5.563232,5.501587,1.0,0.0,0.030348511200690605,1,0.0
12.932,9109412.139,5759.099,-24.99854,1,0,0,12.93,0.0,0.0014,0.0013,0.0004,0.0,0.02408075,0.0,0.0,100.0,1.0,5250.848,1.0,0.2930276,0.4366384,-0.4352536,0.7758025,-0.7738428,9.310595e-08,9.286356e-08,1.750891e-07,1.747769e-07,20.00003,20.0,20.00021,20.00021,237.0,237.0,224.0002,224.0002,2.758465e-13,2.740458e-13,9.684315e-13,9.651824e-13,200.0,5.501465,5.609863,5.904777,6.438152,7.319747,8.786373,11.40891,16.91536,33.01865,200.0,30.18386,15.29779,10.61791,8.340062,7.04775,6.26899,5.804935,5.562988,5.501709,1.0,0.0,0.030660569545631643,1,0.0
12.952,9109412.161,5759.099,-24.99854,1,0,0,12.95,0.0,0.0024,0.0021,-0.001,0.0,0.02410555,0.0,0.0,100.0,1.0,5235.988,1.0,0.2930276,-0.2877997,0.2703539,-0.1933669,1.358449,1.927699e-07,1.926498e-07,4.089493e-07,4.079055e-07,20.00003,20.0,20.00049,20.00049,237.0,237.0,224.0004,224.0004,1.111641e-12,1.110391e-12,4.973317e-12,4.950728e-12,200.0,5.501587,5.609863,5.904833,6.438256,7.319865,8.78669,11.40965,16.91655,33.02188,200.0,30.17936,15.297,10.61718,8.339761,7.047721,6.268791,5.805098,5.56311,5.501587,1.0,0.0,0.030692145892910343,1,0.0
12.972,9109412.179,5759.099,-24.99805,1,0,0,12.97,0.0,0.0904,0.0903,-0.0018,0.0004,0.02416182,-2.21946e-05,0.0,99.99977,1.0,5235.988,1.0,0.2930279,0.4157872,0.3767213,8.630138,8.655198,2.80952e-07,3.272152e-07,1.825112e-06,1.810573e-06,20.00003,20.00006,20.00195,20.00192,237.0,237.0001,224.0015,224.0015,2.314732e-12,3.151709e-12,1.009803e-10,9.960879e-11,200.0,5.501709,5.610107,5.905085,6.438431,7.32036,8.787596,11.41106,16.91969,33.03152,200.0,30.16809,15.29402,10.6162,8.339161,7.047183,6.268448,5.804636,5.562866,5.501465,1.0,0.0,0.030777920621137305,1,0.0
12.992,9109412.198,5759.103,-24.99463,1,0,0,12.99,0.0,0.2161,0.2161,0.001,0.0019,0.0240984,-2.21946e-05,0.0,99.99954,1.0,5235.988,1.0,0.2930408,0.2981397,0.8738778,15.28977,15.31471,3.503871e-07,3.952441e-07,5.522019e-06,5.51647e-06,20.00006,20.00006,20.00586,20.00583,237.0001,237.0001,224.0045,224.0045,3.567547e-12,4.555982e-12,9.04499e-10,9.030791e-10,200.0,5.501709,5.609985,5.904957,6.438431,7.319879,8.786846,11.40958,16.91665,33.02169,200.0,30.18063,15.29685,10.61699,8.339634,7.047541,6.268546,5.804777,5.562744,5.501465,1.0,0.0,0.030697171752410875,1,0.0
13.012,9109412.22,5759.107,-24.98975,1,0,0,13.01,0.0,0.3446,0.3445,0.0011,0.0037,0.02406883,-6.658381e-05,0.0,99.99931,1.0,5235.988,1.0,0.293083,0.8049039,0.8191921,21.76351,21.78717,4.129361e-07,4.635511e-07,1.15688e-05,1.157223e-05,20.00012,20.00009,20.01224,20.01221,237.0001,237.0001,224.0093,224.0093,4.93262e-12,6.227046e-12,3.914668e-09,3.917508e-09,200.0,5.501831,5.610229,5.905317,6.438366,7.320129,8.7868,11.40973,16.91603,33.01634,200.0,30.18386,15.29704,10.61713,8.339396,7.047316,6.26853,5.804608,5.562622,5.501221,1.0,0.0,0.030687781105885166,1,0.0
13.032,9109412.24,5759.116,-24.98145,1,0,0,13.03,0.0,0.4666,0.4666,-0.0012,0.0051,0.02401447,-0.000110973,0.0,99.99908,1.0,5235.988,1.0,0.2931552,1.704959,1.46127,28.1112,28.13464,4.617137e-07,5.312998e-07,1.99793e-05,1.999107e-05,20.00012,20.00009,20.02115,20.02112,237.0001,237.0001,224.0162,224.0161,6.141154e-12,8.140051e-12,1.157503e-08,1.158926e-08,200.0,5.502075,5.610352,5.905419,6.438567,7.320095,8.786806,11.40893,16.9139,33.0069,200.0,30.19368,15.29886,10.61794,8.339768,7.047357,6.268384,5.804604,5.562378,5.500977,1.0,0.0,0.03064682683174645,1,0.0
13.052,9109412.259,5759.126,-24.9707,1,0,0,13.05,0.0,0.5928,0.5928,0.0009,0.0056,0.02396393,-0.0001997514,0.0,99.99882,1.0,6256.346,1.0,0.2932446,2.317693,2.015149,35.20424,35.22802,5.130769e-07,5.779343e-07,3.070087e-05,3.071984e-05,20.00012,20.00009,20.03244,20.03244,237.0001,237.0001,224.0248,224.0248,7.558452e-12,9.602165e-12,2.717427e-08,2.720847e-08,200.0,5.502686,5.610962,5.905776,6.43887,7.320406,8.786797,11.40894,16.9131,33.00051,200.0,30.20032,15.29938,10.61783,8.339642,7.046984,6.268172,5.803934,5.562134,5.500488,1.0,0.0,0.030638995388325412,1,0.0
13.072,9109412.278,5759.14,-24.95703,1,0,0,13.07,0.0,0.7307,0.7307,0.0028,0.005,0.02387285,-0.0002663352,0.0,99.99836,1.0,8217.621,1.0,0.2933307,2.215371,2.260093,46.13883,46.15108,5.708131e-07,6.230007e-07,4.43186e-05,4.434473e-05,20.00012,20.00009,20.04681,20.04681,237.0001,237.0001,224.0358,224.0358,9.330869e-12,1.113174e-11,5.640981e-08,5.647691e-08,200.0,5.50293,5.611084,5.906053,6.439032,7.320426,8.786724,11.40785,16.90998,32.98695,200.0,30.21564,15.30221,10.6185,8.339926,7.04699,6.267852,5.803793,5.561768,5.500244,1.0,0.0,0.03056541727888281,2,0.0
