# schema_version: 1
# source: torcs:telemetry.csv | race_lap: 1 | measured_lap_time: 187.776
# sector: derived as thirds of track length (TORCS exports no sectors)
t,dist,speed,throttle,brake,steer,gear,sector
0.0,0.25,17.2464,1.0,0.0,-0.0186,5.0,1
0.02,0.596,17.3494,1.0,0.0,-0.0177,5.0,1
0.04,0.945,17.4522,1.0,0.0,-0.0168,5.0,1
0.06,1.295,17.5551,1.0,0.0,-0.0158,5.0,1
0.08,1.647,17.6576,1.0,0.0,-0.0149,5.0,1
0.1,2.001,17.7602,1.0,0.0,-0.0141,5.0,1
0.12,2.358,17.8628,1.0,0.0,-0.0134,5.0,1
0.14,2.716,17.9653,1.0,0.0,-0.0126,5.0,1
0.16,3.077,18.0678,1.0,0.0,-0.0118,5.0,1
0.18,3.439,18.1701,1.0,0.0,-0.011,5.0,1
0.2,3.804,18.2724,1.0,0.0,-0.0103,5.0,1
0.22,4.17,18.3746,1.0,0.0,-0.0096,5.0,1
0.24,4.539,18.4767,1.0,0.0,-0.0089,5.0,1
0.26,4.909,18.5787,1.0,0.0,-0.0083,5.0,1
0.28,5.282,18.6806,1.0,0.0,-0.0076,5.0,1
0.3,5.656,18.7822,1.0,0.0,-0.0069,5.0,1
0.32,6.033,18.884,1.0,0.0,-0.0063,5.0,1
0.34,6.412,18.9858,1.0,0.0,-0.0057,5.0,1
0.36,6.793,19.0875,1.0,0.0,-0.0051,5.0,1
0.38,7.175,19.1891,1.0,0.0,-0.0046,5.0,1
0.4,7.56,19.2905,1.0,0.0,-0.0041,5.0,1
0.42,7.947,19.3919,1.0,0.0,-0.0036,5.0,1
0.44,8.336,19.4932,1.0,0.0,-0.0032,5.0,1
0.46,8.727,19.5944,1.0,0.0,-0.0027,5.0,1
0.48,9.12,19.6956,1.0,0.0,-0.0022,5.0,1
0.5,9.515,19.7963,1.0,0.0,-0.0017,5.0,1
0.52,9.912,19.8973,1.0,0.0,-0.0012,5.0,1
0.54,10.311,19.9982,1.0,0.0,-0.0008,5.0,1
0.56,10.712,20.0991,1.0,0.0,-0.0004,5.0,1
0.58,11.115,20.1998,1.0,0.0,-0.0,5.0,1
0.6,11.52,20.3004,1.0,0.0,0.0003,5.0,1
0.62,11.928,20.401,1.0,0.0,0.0006,5.0,1
0.64,12.337,20.5014,1.0,0.0,0.0009,5.0,1
0.66,12.748,20.6018,1.0,0.0,0.0012,5.0,1
0.68,13.161,20.7019,1.0,0.0,0.0014,5.0,1
0.7,13.576,20.802,1.0,0.0,0.0017,5.0,1
0.72,13.993,20.9021,1.0,0.0,0.0019,5.0,1
0.74,14.412,21.0021,1.0,0.0,0.0021,5.0,1
0.76,14.833,21.1021,1.0,0.0,0.0022,5.0,1
0.78,15.256,21.2025,1.0,0.0,0.0024,5.0,1
0.8,15.682,21.3034,1.0,0.0,0.0026,5.0,1
0.82,16.109,21.4048,1.0,0.0,0.0027,5.0,1
0.84,16.538,21.5067,1.0,0.0,0.0028,5.0,1
0.86,16.969,21.609,1.0,0.0,0.0029,5.0,1
0.88,17.402,21.7118,1.0,0.0,0.003,5.0,1
0.9,17.838,21.8152,1.0,0.0,0.0031,5.0,1
