# schema_version: 1
# synthetic lap from scripts/make_sample_session.py — not real sim data
t,dist,speed,throttle,brake,steer,gear,sector
0.0,0.0,77.77,1.0,0.0,0.0,7,1
0.02,1.56,77.841,1.0,0.0,0.0,7,1
0.04,3.11,77.912,1.0,0.0,0.0,7,1
0.06,4.67,77.983,1.0,0.0,0.0,7,1
0.08,6.23,78.053,1.0,0.0,0.0,7,1
0.1,7.79,78.122,1.0,0.0,0.0,7,1
0.12,9.36,78.192,1.0,0.0,0.0,7,1
0.14,10.92,78.261,1.0,0.0,0.0,7,1
0.16,12.49,78.33,1.0,0.0,0.0,7,1
0.18,14.06,78.398,1.0,0.0,0.0,7,1
0.2,15.62,78.466,1.0,0.0,0.0,7,1
0.22,17.19,78.534,1.0,0.0,0.0,7,1
0.24,18.77,78.601,1.0,0.0,0.0,7,1
0.26,20.34,78.668,1.0,0.0,0.0,7,1
0.28,21.91,78.735,1.0,0.0,0.0,7,1
0.3,23.49,78.801,1.0,0.0,0.0,7,1
0.32,25.06,78.867,1.0,0.0,0.0,7,1
0.34,26.64,78.932,1.0,0.0,0.0,7,1
0.36,28.22,78.998,1.0,0.0,0.0,7,1
0.38,29.8,79.063,1.0,0.0,0.0,7,1
0.4,31.38,79.127,1.0,0.0,0.0,7,1
0.42,32.97,79.192,1.0,0.0,0.0,7,1
0.44,34.55,79.256,1.0,0.0,0.0,7,1
0.46,36.14,79.319,1.0,0.0,0.0,7,1
0.48,37.72,79.383,1.0,0.0,0.0,7,1
0.5,39.31,79.446,1.0,0.0,0.0,7,1
0.52,40.9,79.508,1.0,0.0,0.0,7,1
0.54,42.49,79.571,1.0,0.0,0.0,7,1
0.56,44.09,79.633,1.0,0.0,0.0,7,1
0.58,45.68,79.694,1.0,0.0,0.0,7,1
0.6,47.27,79.756,1.0,0.0,0.0,7,1
0.62,48.87,79.817,1.0,0.0,0.0,7,1
0.64,50.47,79.878,1.0,0.0,0.0,7,1
0.66,52.06,79.938,1.0,0.0,0.0,7,1
0.68,53.66,79.998,1.0,0.0,0.0,7,1
0.7,55.26,80.058,1.0,0.0,0.0,7,1
0.72,56.87,80.118,1.0,0.0,0.0,7,1
0.74,58.47,80.177,1.0,0.0,0.0,7,1
0.76,60.07,80.236,1.0,0.0,0.0,7,1
0.78,61.68,80.295,1.0,0.0,0.0,7,1
0.8,63.28,80.353,1.0,0.0,0.0,7,1
0.82,64.89,80.411,1.0,0.0,0.0,7,1
0.84,66.5,80.469,1.0,0.0,0.0,7,1
0.86,68.11,80.527,1.0,0.0,0.0,7,1
0.88,69.72,80.584,1.0,0.0,0.0,7,1
0.9,71.33,80.641,1.0,0.0,0.0,7,1
0.92,72.95,80.697,1.0,0.0,0.0,7,1
0.94,74.56,80.754,1.0,0.0,0.0,7,1
0.96,76.18,80.81,1.0,0.0,0.0,7,1
0.98,77.79,80.866,1.0,0.0,0.0,7,1
1.0,79.41,80.921,1.0,0.0,0.0,7,1
1.02,81.03,80.976,1.0,0.0,0.0,7,1
1.04,82.65,81.031,1.0,0.0,0.0,7,1
1.06,84.27,81.086,1.0,0.0,0.0,7,1
1.08,85.89,81.14,1.0,0.0,0.0,7,1
1.1,87.52,81.194,1.0,0.0,0.0,7,1
1.12,89.14,81.248,1.0,0.0,0.0,7,1
1.14,90.77,81.302,1.0,0.0,0.0,7,1
1.16,92.39,81.355,1.0,0.0,0.0,7,1
1.18,94.02,81.408,1.0,0.0,0.0,7,1
1.2,95.65,81.461,1.0,0.0,0.0,7,1
1.22,97.28,81.514,1.0,0.0,0.0,7,1
1.24,98.91,81.566,1.0,0.0,0.0,7,1
1.26,100.54,81.618,1.0,0.0,0.0,7,1
1.28,102.18,81.669,1.0,0.0,0.0,7,1
1.3,103.81,81.721,1.0,0.0,0.0,7,1
1.32,105.45,81.772,1.0,0.0,0.0,7,1
1.34,107.08,81.823,1.0,0.0,0.0,7,1
1.36,108.72,81.874,1.0,0.0,0.0,7,1
1.38,110.36,81.924,1.0,0.0,0.0,7,1
1.4,111.99,81.974,1.0,0.0,0.0,7,1
1.42,113.63,82.024,1.0,0.0,0.0,7,1
1.44,115.28,82.074,1.0,0.0,0.0,7,1
1.46,116.92,82.123,1.0,0.0,0.0,7,1
1.48,118.56,82.173,1.0,0.0,0.0,7,1
1.5,120.2,82.221,1.0,0.0,0.0,7,1
1.52,121.85,82.27,1.0,0.0,0.0,7,1
1.54,123.5,82.319,1.0,0.0,0.0,7,1
1.56,125.14,82.367,1.0,0.0,0.0,7,1
1.58,126.79,82.415,1.0,0.0,0.0,7,1
1.6,128.44,82.462,1.0,0.0,0.0,7,1
1.62,130.09,82.51,1.0,0.0,0.0,7,1
1.64,131.74,82.557,1.0,0.0,0.0,7,1
1.66,133.39,82.604,1.0,0.0,0.0,7,1
1.68,135.04,82.651,1.0,0.0,0.0,7,1
1.7,136.7,82.697,1.0,0.0,0.0,7,1
1.72,138.35,82.744,1.0,0.0,0.0,7,1
1.74,140.01,82.79,1.0,0.0,0.0,7,1
1.76,141.66,82.836,1.0,0.0,0.0,7,1
1.78,143.32,82.881,1.0,0.0,0.0,7,1
1.8,144.98,82.927,1.0,0.0,0.0,7,1
1.82,146.64,82.972,1.0,0.0,0.0,7,1
1.84,148.3,83.017,1.0,0.0,0.0,8,1
1.86,149.96,83.061,1.0,0.0,0.0,8,1
1.88,151.62,83.106,1.0,0.0,0.0,8,1
1.9,153.28,83.15,1.0,0.0,0.0,8,1
1.92,154.95,83.194,1.0,0.0,0.0,8,1
1.94,156.61,83.238,1.0,0.0,0.0,8,1
1.96,158.28,83.281,1.0,0.0,0.0,8,1
1.98,159.94,83.325,1.0,0.0,0.0,8,1
2.0,161.61,83.368,1.0,0.0,0.0,8,1
2.02,163.28,83.411,1.0,0.0,0.0,8,1
2.04,164.94,83.454,1.0,0.0,0.0,8,1
2.06,166.61,83.496,1.0,0.0,0.0,8,1
2.08,168.28,83.538,1.0,0.0,0.0,8,1
2.1,169.96,83.58,1.0,0.0,0.0,8,1
2.12,171.63,83.622,1.0,0.0,0.0,8,1
2.14,173.3,83.664,1.0,0.0,0.0,8,1
2.16,174.97,83.705,1.0,0.0,0.0,8,1
2.18,176.65,83.747,1.0,0.0,0.0,8,1
2.2,178.32,83.788,1.0,0.0,0.0,8,1
2.22,180.0,83.828,1.0,0.0,0.0,8,1
2.24,181.68,83.869,1.0,0.0,0.0,8,1
2.26,183.35,83.91,1.0,0.0,0.0,8,1
2.28,185.03,83.95,1.0,0.0,0.0,8,1
2.3,186.71,83.99,1.0,0.0,0.0,8,1
2.32,188.39,84.03,1.0,0.0,0.0,8,1
2.34,190.07,84.069,1.0,0.0,0.0,8,1
2.36,191.76,84.109,1.0,0.0,0.0,8,1
2.38,193.44,84.148,1.0,0.0,0.0,8,1
2.4,195.12,84.187,1.0,0.0,0.0,8,1
2.42,196.81,84.226,1.0,0.0,0.0,8,1
2.44,198.49,84.264,1.0,0.0,0.0,8,1
2.46,200.18,84.303,1.0,0.0,0.0,8,1
2.48,201.86,84.341,1.0,0.0,0.0,8,1
2.5,203.55,84.379,1.0,0.0,0.0,8,1
2.52,205.24,84.417,1.0,0.0,0.0,8,1
2.54,206.93,84.455,1.0,0.0,0.0,8,1
2.56,208.62,84.492,1.0,0.0,0.0,8,1
2.58,210.31,84.529,1.0,0.0,0.0,8,1
2.6,212.0,84.567,1.0,0.0,0.0,8,1
2.62,213.69,84.604,1.0,0.0,0.0,8,1
2.64,215.38,84.64,1.0,0.0,0.0,8,1
2.66,217.07,84.677,1.0,0.0,0.0,8,1
2.68,218.77,84.713,1.0,0.0,0.0,8,1
2.7,220.46,84.749,1.0,0.0,0.0,8,1
2.72,222.16,84.785,1.0,0.0,0.0,8,1
2.74,223.85,84.821,1.0,0.0,0.0,8,1
2.76,225.55,84.857,1.0,0.0,0.0,8,1
2.78,227.25,84.892,1.0,0.0,0.0,8,1
2.8,228.95,84.928,1.0,0.0,0.0,8,1
2.82,230.65,84.963,1.0,0.0,0.0,8,1
2.84,232.35,84.998,1.0,0.0,0.0,8,1
2.86,234.05,85.033,1.0,0.0,0.0,8,1
2.88,235.75,85.067,1.0,0.0,0.0,8,1
2.9,237.45,85.102,1.0,0.0,0.0,8,1
2.92,239.15,85.136,1.0,0.0,0.0,8,1
2.94,240.85,85.17,1.0,0.0,0.0,8,1
2.96,242.56,85.204,1.0,0.0,0.0,8,1
2.98,244.26,85.238,1.0,0.0,0.0,8,1
3.0,245.97,85.271,1.0,0.0,0.0,8,1
3.02,247.67,85.305,1.0,0.0,0.0,8,1
3.04,249.38,85.338,1.0,0.0,0.0,8,1
3.06,251.09,85.371,1.0,0.0,0.0,8,1
3.08,252.79,85.404,1.0,0.0,0.0,8,1
3.1,254.5,85.437,1.0,0.0,0.0,8,1
3.12,256.21,85.469,1.0,0.0,0.0,8,1
3.14,257.92,85.502,1.0,0.0,0.0,8,1
3.16,259.63,85.534,1.0,0.0,0.0,8,1
3.18,261.34,85.566,1.0,0.0,0.0,8,1
3.2,263.05,85.598,1.0,0.0,0.0,8,1
3.22,264.77,85.63,1.0,0.0,0.0,8,1
3.24,266.48,85.661,1.0,0.0,0.0,8,1
3.26,268.19,85.693,1.0,0.0,0.0,8,1
3.28,269.91,85.724,1.0,0.0,0.0,8,1
3.3,271.62,85.755,1.0,0.0,0.0,8,1
3.32,273.34,85.786,1.0,0.0,0.0,8,1
3.34,275.05,85.817,1.0,0.0,0.0,8,1
3.36,276.77,85.848,1.0,0.0,0.0,8,1
3.38,278.49,85.879,1.0,0.0,0.0,8,1
3.4,280.21,85.909,1.0,0.0,0.0,8,1
3.42,281.92,85.939,1.0,0.0,0.0,8,1
3.44,283.64,85.969,1.0,0.0,0.0,8,1
3.46,285.36,85.999,1.0,0.0,0.0,8,1
3.48,287.08,86.029,1.0,0.0,0.0,8,1
3.5,288.8,86.059,1.0,0.0,0.0,8,1
3.52,290.53,86.088,1.0,0.0,0.0,8,1
3.54,292.25,86.117,1.0,0.0,0.0,8,1
3.56,293.97,86.147,1.0,0.0,0.0,8,1
3.58,295.69,86.176,1.0,0.0,0.0,8,1
3.6,297.42,86.205,1.0,0.0,0.0,8,1
3.62,299.14,86.233,1.0,0.0,0.0,8,1
3.64,300.87,86.262,1.0,0.0,0.0,8,1
3.66,302.59,86.291,1.0,0.0,0.0,8,1
3.68,304.32,86.319,1.0,0.0,0.0,8,1
3.7,306.04,86.347,1.0,0.0,0.0,8,1
3.72,307.77,86.375,1.0,0.0,0.0,8,1
3.74,309.5,86.403,1.0,0.0,0.0,8,1
3.76,311.23,86.431,1.0,0.0,0.0,8,1
3.78,312.96,86.458,1.0,0.0,0.0,8,1
3.8,314.69,86.486,1.0,0.0,0.0,8,1
3.82,316.42,86.513,1.0,0.0,0.0,8,1
3.84,318.15,86.541,1.0,0.0,0.0,8,1
3.86,319.88,86.568,1.0,0.0,0.0,8,1
3.88,321.61,86.595,1.0,0.0,0.0,8,1
3.9,323.34,86.621,1.0,0.0,0.0,8,1
3.92,325.07,86.648,1.0,0.0,0.0,8,1
3.94,326.81,86.675,1.0,0.0,0.0,8,1
3.96,328.54,86.701,1.0,0.0,0.0,8,1
3.98,330.28,86.727,1.0,0.0,0.0,8,1
4.0,332.01,86.754,1.0,0.0,0.0,8,1
4.02,333.75,86.78,1.0,0.0,0.0,8,1
4.04,335.48,86.806,1.0,0.0,0.0,8,1
4.06,337.22,86.831,1.0,0.0,0.0,8,1
4.08,338.96,86.857,1.0,0.0,0.0,8,1
4.1,340.69,86.883,1.0,0.0,0.0,8,1
4.12,342.43,86.908,1.0,0.0,0.0,8,1
4.14,344.17,86.933,1.0,0.0,0.0,8,1
4.16,345.91,86.958,1.0,0.0,0.0,8,1
4.18,347.65,86.983,1.0,0.0,0.0,8,1
4.2,349.39,87.008,1.0,0.0,0.0,8,1
4.22,351.13,87.033,1.0,0.0,0.0,8,1
4.24,352.87,87.058,1.0,0.0,0.0,8,1
4.26,354.61,87.082,1.0,0.0,0.0,8,1
4.28,356.35,87.107,1.0,0.0,0.0,8,1
4.3,358.09,87.131,1.0,0.0,0.0,8,1
4.32,359.84,87.155,1.0,0.0,0.0,8,1
4.34,361.58,87.179,1.0,0.0,0.0,8,1
4.36,363.32,87.203,1.0,0.0,0.0,8,1
4.38,365.07,87.227,1.0,0.0,0.0,8,1
4.4,366.81,87.25,1.0,0.0,0.0,8,1
4.42,368.56,87.274,1.0,0.0,0.0,8,1
4.44,370.3,87.297,1.0,0.0,0.0,8,1
4.46,372.05,87.321,1.0,0.0,0.0,8,1
4.48,373.8,87.344,1.0,0.0,0.0,8,1
4.5,375.54,87.367,1.0,0.0,0.0,8,1
4.52,377.29,87.39,1.0,0.0,0.0,8,1
4.54,379.04,87.413,1.0,0.0,0.0,8,1
4.56,380.79,87.436,1.0,0.0,0.0,8,1
4.58,382.54,87.458,1.0,0.0,0.0,8,1
4.6,384.29,87.481,1.0,0.0,0.0,8,1
4.62,386.04,87.503,1.0,0.0,0.0,8,1
4.64,387.79,87.526,1.0,0.0,0.0,8,1
4.66,389.54,87.548,1.0,0.0,0.0,8,1
4.68,391.29,87.57,1.0,0.0,0.0,8,1
4.7,393.04,87.592,1.0,0.0,0.0,8,1
4.72,394.79,87.614,1.0,0.0,0.0,8,1
4.74,396.54,87.636,1.0,0.0,0.0,8,1
4.76,398.3,87.657,1.0,0.0,0.0,8,1
4.78,400.05,87.679,1.0,0.0,0.0,8,1
4.8,401.8,87.7,1.0,0.0,0.0,8,1
4.82,403.56,87.721,1.0,0.0,0.0,8,1
4.84,405.31,87.743,1.0,0.0,0.0,8,1
4.86,407.07,87.764,1.0,0.0,0.0,8,1
4.88,408.82,87.785,1.0,0.0,0.0,8,1
4.9,410.58,87.806,1.0,0.0,0.0,8,1
4.92,412.34,87.827,1.0,0.0,0.0,8,1
4.94,414.09,87.847,1.0,0.0,0.0,8,1
4.96,415.85,87.868,1.0,0.0,0.0,8,1
4.98,417.61,87.888,1.0,0.0,0.0,8,1
5.0,419.37,87.909,1.0,0.0,0.0,8,1
5.02,421.12,87.929,1.0,0.0,0.0,8,1
5.04,422.88,87.949,1.0,0.0,0.0,8,1
5.06,424.64,87.969,1.0,0.0,0.0,8,1
5.08,426.4,87.989,1.0,0.0,0.0,8,1
5.1,428.16,88.009,1.0,0.0,0.0,8,1
5.12,429.92,88.029,1.0,0.0,0.0,8,1
5.14,431.68,88.049,1.0,0.0,0.0,8,1
5.16,433.44,88.068,1.0,0.0,0.0,8,1
5.18,435.21,88.088,1.0,0.0,0.0,8,1
5.2,436.97,88.107,1.0,0.0,0.0,8,1
5.22,438.73,88.127,1.0,0.0,0.0,8,1
5.24,440.49,88.146,1.0,0.0,0.0,8,1
5.26,442.26,88.165,1.0,0.0,0.0,8,1
5.28,444.02,88.184,1.0,0.0,0.0,8,1
5.3,445.78,88.203,1.0,0.0,0.0,8,1
5.32,447.55,88.222,1.0,0.0,0.0,8,1
5.34,449.31,88.24,1.0,0.0,0.0,8,1
5.36,451.08,88.259,1.0,0.0,0.0,8,1
5.38,452.84,88.278,1.0,0.0,0.0,8,1
5.4,454.61,88.296,1.0,0.0,0.0,8,1
5.42,456.37,88.314,1.0,0.0,0.0,8,1
5.44,458.14,88.333,1.0,0.0,0.0,8,1
5.46,459.91,88.351,1.0,0.0,0.0,8,1
5.48,461.67,88.369,1.0,0.0,0.0,8,1
5.5,463.44,88.387,1.0,0.0,0.0,8,1
5.52,465.21,88.405,1.0,0.0,0.0,8,1
5.54,466.98,88.423,1.0,0.0,0.0,8,1
5.56,468.75,88.44,1.0,0.0,0.0,8,1
5.58,470.52,88.458,1.0,0.0,0.0,8,1
5.6,472.29,88.476,1.0,0.0,0.0,8,1
5.62,474.06,88.493,1.0,0.0,0.0,8,1
5.64,475.83,88.511,1.0,0.0,0.0,8,1
5.66,477.6,88.528,1.0,0.0,0.0,8,1
5.68,479.37,88.545,1.0,0.0,0.0,8,1
5.7,481.14,88.562,1.0,0.0,0.0,8,1
5.72,482.91,88.579,1.0,0.0,0.0,8,1
5.74,484.68,88.596,1.0,0.0,0.0,8,1
5.76,486.45,88.613,1.0,0.0,0.0,8,1
5.78,488.22,88.63,1.0,0.0,0.0,8,1
5.8,490.0,88.647,1.0,0.0,0.0,8,1
5.82,491.77,88.663,1.0,0.0,0.0,8,1
5.84,493.54,88.68,1.0,0.0,0.0,8,1
5.86,495.32,88.696,1.0,0.0,0.0,8,1
5.88,497.09,88.713,1.0,0.0,0.0,8,1
5.9,498.87,88.729,1.0,0.0,0.0,8,1
5.92,500.64,88.745,1.0,0.0,0.0,8,1
5.94,502.42,88.761,1.0,0.0,0.0,8,1
5.96,504.19,88.777,1.0,0.0,0.0,8,1
5.98,505.97,88.793,1.0,0.0,0.0,8,1
6.0,507.74,88.809,1.0,0.0,0.0,8,1
6.02,509.52,88.825,1.0,0.0,0.0,8,1
6.04,511.3,88.841,1.0,0.0,0.0,8,1
6.06,513.07,88.856,1.0,0.0,0.0,8,1
6.08,514.85,88.872,1.0,0.0,0.0,8,1
6.1,516.63,88.888,1.0,0.0,0.0,8,1
6.12,518.41,88.903,1.0,0.0,0.0,8,1
6.14,520.18,88.918,1.0,0.0,0.0,8,1
6.16,521.96,88.934,1.0,0.0,0.0,8,1
6.18,523.74,88.949,1.0,0.0,0.0,8,1
6.2,525.52,88.964,1.0,0.0,0.0,8,1
6.22,527.3,88.979,1.0,0.0,0.0,8,1
6.24,529.08,88.994,1.0,0.0,0.0,8,1
6.26,530.86,89.009,1.0,0.0,0.0,8,1
6.28,532.64,89.024,1.0,0.0,0.0,8,1
6.3,534.42,89.039,1.0,0.0,0.0,8,1
6.32,536.2,89.053,1.0,0.0,0.0,8,1
6.34,537.98,89.068,1.0,0.0,0.0,8,1
6.36,539.76,89.082,1.0,0.0,0.0,8,1
6.38,541.55,89.097,1.0,0.0,0.0,8,1
6.4,543.33,89.111,1.0,0.0,0.0,8,1
6.42,545.11,89.126,1.0,0.0,0.0,8,1
6.44,546.89,89.14,1.0,0.0,0.0,8,1
6.46,548.68,89.154,1.0,0.0,0.0,8,1
6.48,550.46,89.168,1.0,0.0,0.0,8,1
6.5,552.24,89.182,1.0,0.0,0.0,8,1
6.52,554.03,89.196,1.0,0.0,0.0,8,1
6.54,555.81,89.21,1.0,0.0,0.0,8,1
6.56,557.6,89.224,1.0,0.0,0.0,8,1
6.58,559.38,89.238,1.0,0.0,0.0,8,1
6.6,561.16,89.251,1.0,0.0,0.0,8,1
6.62,562.95,89.265,1.0,0.0,0.0,8,1
6.64,564.74,89.278,1.0,0.0,0.0,8,1
6.66,566.52,89.292,1.0,0.0,0.0,8,1
6.68,568.31,89.305,1.0,0.0,0.0,8,1
6.7,570.09,89.319,1.0,0.0,0.0,8,1
6.72,571.88,89.332,1.0,0.0,0.0,8,1
6.74,573.67,89.345,0.999,0.0,0.0,8,1
6.76,575.45,89.358,0.0,0.099,0.0,8,1
6.78,577.24,88.938,0.0,0.611,0.0,8,1
6.8,579.01,88.328,0.0,0.77,0.0,8,1
6.82,580.77,87.718,0.0,0.773,0.0,8,1
6.84,582.52,87.108,0.0,0.776,0.0,8,1
6.86,584.26,86.498,0.0,0.779,0.0,8,1
6.88,585.98,85.888,0.0,0.783,0.0,8,1
6.9,587.69,85.278,0.0,0.786,0.0,8,1
6.92,589.39,84.668,0.0,0.789,0.0,8,1
6.94,591.08,84.058,0.0,0.792,0.0,8,1
6.96,592.75,83.448,0.0,0.795,0.0,8,1
6.98,594.42,82.838,0.0,0.798,0.0,7,1
7.0,596.07,82.228,0.0,0.801,0.0,7,1
7.02,597.7,81.618,0.0,0.804,0.0,7,1
7.04,599.33,81.008,0.0,0.807,0.0,7,1
7.06,600.94,80.398,0.0,0.809,0.0,7,1
7.08,602.55,79.788,0.0,0.812,0.0,7,1
7.1,604.14,79.178,0.0,0.815,0.0,7,1
7.12,605.71,78.568,0.0,0.818,0.0,7,1
7.14,607.28,77.958,0.0,0.821,0.0,7,1
7.16,608.83,77.348,0.0,0.824,0.0,7,1
7.18,610.37,76.738,0.0,0.826,0.0,7,1
7.2,611.9,76.128,0.0,0.829,0.0,7,1
7.22,613.42,75.518,0.0,0.832,0.0,7,1
7.24,614.92,74.908,0.0,0.835,0.0,7,1
7.26,616.41,74.298,0.0,0.837,0.0,7,1
7.28,617.89,73.688,0.0,0.84,0.0,6,1
7.3,619.36,73.078,0.0,0.843,0.0,6,1
7.32,620.82,72.468,0.0,0.845,0.0,6,1
7.34,622.26,71.858,0.0,0.848,0.0,6,1
7.36,623.69,71.248,0.0,0.85,0.0,6,1
7.38,625.11,70.638,0.0,0.853,0.0,6,1
7.4,626.52,70.028,0.0,0.855,0.0,6,1
7.42,627.91,69.418,0.0,0.858,0.0,6,1
7.44,629.29,68.808,0.0,0.86,0.0,6,1
7.46,630.66,68.198,0.0,0.863,0.0,6,1
7.48,632.02,67.588,0.0,0.865,0.0,6,1
7.5,633.37,66.978,0.0,0.868,0.0,6,1
7.52,634.7,66.368,0.0,0.87,0.0,6,1
7.54,636.02,65.758,0.0,0.873,0.0,6,1
7.56,637.33,65.148,0.0,0.875,0.0,6,1
7.58,638.63,64.538,0.0,0.877,0.0,5,1
7.6,639.91,63.928,0.0,0.88,0.0,5,1
7.62,641.18,63.318,0.0,0.882,0.0,5,1
7.64,642.44,62.708,0.0,0.884,0.0,5,1
7.66,643.69,62.098,0.0,0.886,0.0,5,1
7.68,644.93,61.488,0.0,0.889,0.0,5,1
7.7,646.15,60.878,0.0,0.891,0.0,5,1
7.72,647.36,60.268,0.0,0.893,0.0,5,1
7.74,648.56,59.658,0.0,0.895,0.0,5,1
7.76,649.75,59.048,0.0,0.897,0.0,5,1
7.78,650.93,58.438,0.0,0.899,0.0,5,1
7.8,652.09,57.828,0.0,0.901,0.0,5,1
7.82,653.24,57.218,0.0,0.904,0.0,5,1
7.84,654.38,56.608,0.0,0.906,0.0,5,1
7.86,655.5,55.998,0.0,0.908,0.0,5,1
7.88,656.62,55.388,0.0,0.91,0.0,5,1
7.9,657.72,54.778,0.0,0.912,0.0,4,1
7.92,658.81,54.168,0.0,0.914,0.0,4,1
7.94,659.88,53.558,0.0,0.915,0.0,4,1
7.96,660.95,52.948,0.0,0.917,0.0,4,1
7.98,662.0,52.338,0.0,0.919,0.0,4,1
8.0,663.04,51.728,0.0,0.921,0.0,4,1
8.02,664.07,51.118,0.0,0.923,0.0,4,1
8.04,665.09,50.508,0.0,0.925,0.0,4,1
8.06,666.09,49.898,0.0,0.927,0.0,4,1
8.08,667.08,49.288,0.0,0.928,0.0,4,1
8.1,668.06,48.678,0.0,0.93,0.0,4,1
8.12,669.03,48.068,0.0,0.932,0.0,4,1
8.14,669.99,47.458,0.0,0.934,0.0,4,1
8.16,670.93,46.848,0.0,0.935,0.0,4,1
