# schema_version: 1
# source: torcs:telemetry.csv | race_lap: 1 | measured_lap_time: 187.596
# sector: derived as thirds of track length (TORCS exports no sectors)
t,dist,speed,throttle,brake,steer,gear,sector
0.0,0.339,17.4298,1.0,0.0,-0.0173,4.0,1
0.02,0.689,17.5455,1.0,0.0,-0.0165,4.0,1
0.04,1.041,17.6611,1.0,0.0,-0.0157,4.0,1
0.06,1.396,17.7766,1.0,0.0,-0.0149,4.0,1
0.08,1.753,17.8919,1.0,0.0,-0.0142,4.0,1
0.1,2.112,18.0072,1.0,0.0,-0.0135,4.0,1
0.12,2.473,18.1225,1.0,0.0,-0.0129,4.0,1
0.14,2.837,18.2377,1.0,0.0,-0.0121,4.0,1
0.16,3.203,18.3528,1.0,0.0,-0.0114,4.0,1
0.18,3.571,18.4678,1.0,0.0,-0.0108,4.0,1
0.2,3.942,18.5827,1.0,0.0,-0.0102,4.0,1
0.22,4.315,18.6975,1.0,0.0,-0.0096,4.0,1
0.24,4.69,18.8125,1.0,0.0,-0.009,4.0,1
0.26,5.068,18.9279,1.0,0.0,-0.0084,4.0,1
0.28,5.447,19.0439,1.0,0.0,-0.0078,4.0,1
0.3,5.83,19.1608,1.0,0.0,-0.0072,4.0,1
0.32,6.214,19.2787,1.0,0.0,-0.0066,4.0,1
0.34,6.601,19.3975,1.0,0.0,-0.0061,4.0,1
0.36,6.99,19.5172,1.0,0.0,-0.0056,4.0,1
0.38,7.382,19.6376,1.0,0.0,-0.0052,4.0,1
0.4,7.776,19.7588,1.0,0.0,-0.0047,4.0,1
0.42,8.172,19.8809,1.0,0.0,-0.0041,4.0,1
0.44,8.571,20.0037,1.0,0.0,-0.0036,4.0,1
0.46,8.973,20.1274,1.0,0.0,-0.0032,4.0,1
0.48,9.377,20.2517,1.0,0.0,-0.0027,4.0,1
0.52,10.192,20.5033,1.0,0.0,-0.0019,4.0,1
0.54,10.604,20.6306,1.0,0.0,-0.0016,4.0,1
0.56,11.018,20.7588,1.0,0.0,-0.0012,4.0,1
0.58,11.434,20.8879,1.0,0.0,-0.0009,4.0,1
0.6,11.853,21.0179,1.0,0.0,-0.0006,4.0,1
0.62,12.275,21.1488,1.0,0.0,-0.0004,4.0,1
0.64,12.7,21.2806,1.0,0.0,-0.0002,4.0,1
0.66,13.127,21.4131,1.0,0.0,0.0001,4.0,1
0.7,13.989,21.6808,1.0,0.0,0.0006,4.0,1
0.72,14.424,21.8164,1.0,0.0,0.0009,4.0,1
0.74,14.862,21.953,1.0,0.0,0.0012,4.0,1
0.76,15.302,22.0906,1.0,0.0,0.0015,4.0,1
0.78,15.746,22.2291,1.0,0.0,0.0017,4.0,1
0.8,16.192,22.3687,1.0,0.0,0.0019,4.0,1
0.82,16.641,22.5091,1.0,0.0,0.0021,4.0,1
0.84,17.092,22.6504,1.0,0.0,0.0023,4.0,1
0.86,17.547,22.7925,1.0,0.0,0.0024,4.0,1
0.88,18.004,22.9359,1.0,0.0,0.0025,4.0,1
0.9,18.465,23.0803,1.0,0.0,0.0027,4.0,1
0.92,18.928,23.226,1.0,0.0,0.0027,4.0,1
0.94,19.394,23.3727,1.0,0.0,0.0026,4.0,1
0.96,19.863,23.5206,1.0,0.0,0.0026,4.0,1
0.98,20.335,23.6695,1.0,0.0,0.0025,4.0,1
1.0,20.81,23.8193,1.0,0.0,0.0024,4.0,1
1.02,21.288,23.97,1.0,0.0,0.0023,4.0,1
1.04,21.769,24.1218,1.0,0.0,0.0022,4.0,1
1.06,22.253,24.2749,1.0,0.0,0.0021,4.0,1
1.08,22.74,24.4292,1.0,0.0,0.002,4.0,1
1.1,23.231,24.5847,1.0,0.0,0.0019,4.0,1
1.12,23.724,24.7414,1.0,0.0,0.0018,4.0,1
1.14,24.221,24.8994,1.0,0.0,0.0017,4.0,1
1.16,24.72,25.0583,1.0,0.0,0.0016,4.0,1
1.18,25.223,25.2182,1.0,0.0,0.0015,4.0,1
1.2,25.729,25.3793,1.0,0.0,0.0014,4.0,1
1.22,26.239,25.5417,1.0,0.0,0.0013,4.0,1
1.24,26.751,25.7054,1.0,0.0,0.0012,4.0,1
1.26,27.267,25.8703,1.0,0.0,0.0012,4.0,1
1.28,27.786,26.0148,1.0,0.0,0.0011,5.0,1
1.3,28.307,26.0349,1.0,0.0,0.001,5.0,1
1.32,28.828,26.0225,1.0,0.0,0.0009,5.0,1
1.34,29.349,26.0818,1.0,0.0,0.0008,5.0,1
1.36,29.871,26.1943,1.0,0.0,0.0007,5.0,1
1.38,30.397,26.3173,1.0,0.0,0.0006,5.0,1
1.4,30.924,26.4447,1.0,0.0,0.0005,5.0,1
1.42,31.455,26.574,1.0,0.0,0.0004,5.0,1
1.44,31.988,26.7035,1.0,0.0,0.0003,5.0,1
1.46,32.523,26.8326,1.0,0.0,0.0003,5.0,1
1.48,33.061,26.9615,1.0,0.0,0.0002,5.0,1
1.5,33.602,27.0904,1.0,0.0,0.0002,5.0,1
1.52,34.145,27.2201,1.0,0.0,0.0001,5.0,1
1.54,34.691,27.3508,1.0,0.0,0.0001,5.0,1
1.56,35.24,27.4826,1.0,0.0,0.0001,5.0,1
1.58,35.791,27.6154,1.0,0.0,0.0,5.0,1
1.6,36.344,27.749,1.0,0.0,0.0,5.0,1
1.62,36.901,27.8834,1.0,0.0,0.0,5.0,1
1.64,37.46,28.0185,1.0,0.0,-0.0,5.0,1
1.66,38.022,28.1543,1.0,0.0,-0.0,5.0,1
1.68,38.586,28.2906,1.0,0.0,-0.0,5.0,1
1.7,39.154,28.4275,1.0,0.0,-0.0,5.0,1
1.72,39.724,28.5649,1.0,0.0,-0.0,5.0,1
1.74,40.297,28.703,1.0,0.0,-0.0,5.0,1
1.76,40.872,28.8418,1.0,0.0,-0.0,5.0,1
1.78,41.451,28.9813,1.0,0.0,-0.0,5.0,1
1.8,42.032,29.1215,1.0,0.0,-0.0,5.0,1
1.82,42.616,29.2625,1.0,0.0,-0.0,5.0,1
1.84,43.203,29.4042,1.0,0.0,-0.0,5.0,1
1.86,43.792,29.5467,1.0,0.0,-0.0,5.0,1
1.88,44.384,29.645,1.0,0.0,-0.0,6.0,1
1.9,44.977,29.6395,1.0,0.0,-0.0,6.0,1
1.92,45.57,29.6222,1.0,0.0,-0.0,6.0,1
1.94,46.163,29.6709,1.0,0.0,-0.0,6.0,1
1.96,46.757,29.7727,1.0,0.0,-0.0,6.0,1
1.98,47.354,29.8849,1.0,0.0,-0.0,6.0,1
2.0,47.953,30.0007,1.0,0.0,-0.0,6.0,1
2.02,48.554,30.1177,1.0,0.0,-0.0,6.0,1
2.04,49.158,30.2345,1.0,0.0,-0.0,6.0,1
2.06,49.764,30.3508,1.0,0.0,-0.0,6.0,1
2.08,50.372,30.4669,1.0,0.0,-0.0,6.0,1
2.1,50.983,30.5829,1.0,0.0,-0.0,6.0,1
2.12,51.596,30.6996,1.0,0.0,-0.0,6.0,1
2.14,52.211,30.8174,1.0,0.0,-0.0,6.0,1
2.16,52.829,30.9358,1.0,0.0,-0.0,6.0,1
2.18,53.449,31.0548,1.0,0.0,-0.0,6.0,1
2.2,54.071,31.1743,1.0,0.0,-0.0,6.0,1
2.22,54.696,31.2943,1.0,0.0,-0.0,6.0,1
2.24,55.323,31.4147,1.0,0.0,-0.0,6.0,1
2.26,55.953,31.5357,1.0,0.0,-0.0,6.0,1
2.28,56.585,31.657,1.0,0.0,-0.0,6.0,1
2.3,57.219,31.7785,1.0,0.0,-0.0,6.0,1
2.32,57.856,31.9004,1.0,0.0,-0.0,6.0,1
2.34,58.496,32.0226,1.0,0.0,-0.0,6.0,1
2.36,59.137,32.1453,1.0,0.0,0.0,6.0,1
2.4,60.428,32.3926,1.0,0.0,0.0,6.0,1
2.42,61.078,32.5168,1.0,0.0,0.0,6.0,1
2.44,61.729,32.6415,1.0,0.0,0.0,6.0,1
2.46,62.384,32.7666,1.0,0.0,0.0,6.0,1
2.48,63.04,32.8921,1.0,0.0,0.0,6.0,1
2.5,63.7,33.0183,1.0,0.0,0.0,6.0,1
2.52,64.361,33.145,1.0,0.0,0.0,6.0,1
2.54,65.026,33.2719,1.0,0.0,0.0,6.0,1
2.56,65.692,33.3992,1.0,0.0,0.0,6.0,1
2.58,66.362,33.527,1.0,0.0,0.0,6.0,1
2.6,67.034,33.6551,1.0,0.0,0.0,6.0,1
2.62,67.708,33.7841,1.0,0.0,0.0,6.0,1
2.64,68.385,33.9135,1.0,0.0,0.0,6.0,1
2.66,69.065,34.0432,1.0,0.0,0.0,6.0,1
2.68,69.747,34.1733,1.0,0.0,0.0,6.0,1
2.7,70.432,34.3037,1.0,0.0,0.0,6.0,1
2.72,71.12,34.4347,1.0,0.0,0.0,6.0,1
2.74,71.81,34.5666,1.0,0.0,-0.0,6.0,1
2.76,72.503,34.6988,1.0,0.0,-0.0,6.0,1
2.78,73.198,34.8312,1.0,0.0,-0.0,6.0,1
2.8,73.896,34.964,1.0,0.0,-0.0,6.0,1
2.82,74.597,35.0971,1.0,0.0,-0.0,6.0,1
2.84,75.3,35.2312,1.0,0.0,-0.0,6.0,1
2.86,76.007,35.3658,1.0,0.0,-0.0,6.0,1
2.88,76.715,35.5007,1.0,0.0,-0.0,6.0,1
2.9,77.427,35.6359,1.0,0.0,-0.0,6.0,1
2.92,78.141,35.7714,1.0,0.0,-0.0,6.0,1
2.94,78.858,35.9074,1.0,0.0,-0.0,6.0,1
2.96,79.578,36.0446,1.0,0.0,-0.0,6.0,1
2.98,80.3,36.182,1.0,0.0,-0.0,6.0,1
3.0,81.025,36.3196,1.0,0.0,-0.0,6.0,1
3.02,81.753,36.4575,1.0,0.0,-0.0,6.0,1
3.04,82.484,36.5958,1.0,0.0,-0.0,6.0,1
3.06,83.217,36.7353,1.0,0.0,-0.0,6.0,1
3.08,83.953,36.8751,1.0,0.0,-0.0,6.0,1
3.1,84.692,37.0151,1.0,0.0,-0.0,6.0,1
3.12,85.434,37.1554,1.0,0.0,-0.0,6.0,1
3.14,86.179,37.2961,1.0,0.0,-0.0,6.0,1
3.16,86.926,37.4378,1.0,0.0,-0.0,6.0,1
3.18,87.677,37.5802,1.0,0.0,-0.0,6.0,1
3.2,88.43,37.7227,1.0,0.0,-0.0,6.0,1
3.22,89.186,37.8654,1.0,0.0,-0.0,6.0,1
3.24,89.945,38.0084,1.0,0.0,-0.0,6.0,1
3.26,90.707,38.1524,1.0,0.0,-0.0,6.0,1
3.28,91.471,38.2973,1.0,0.0,-0.0,6.0,1
3.3,92.239,38.4423,1.0,0.0,-0.0,6.0,1
