# schema_version: 1
# synthetic flying lap from scripts/make_sample_lap.py — not real sim data
t,dist,speed,throttle,brake,steer,gear,sector
0.0,0.0,78.172,1.0,0.0,0.0,7,1
0.02,1.56,78.241,1.0,0.0,0.0,7,1
0.04,3.13,78.31,1.0,0.0,0.0,7,1
0.06,4.7,78.379,1.0,0.0,0.0,7,1
0.08,6.26,78.447,1.0,0.0,0.0,7,1
0.1,7.83,78.514,1.0,0.0,0.0,7,1
0.12,9.41,78.582,1.0,0.0,0.0,7,1
0.14,10.98,78.649,1.0,0.0,0.0,7,1
0.16,12.55,78.716,1.0,0.0,0.0,7,1
0.18,14.13,78.782,1.0,0.0,0.0,7,1
0.2,15.7,78.848,1.0,0.0,0.0,7,1
0.22,17.28,78.914,1.0,0.0,0.0,7,1
0.24,18.86,78.979,1.0,0.0,0.0,7,1
0.26,20.44,79.044,1.0,0.0,0.0,7,1
0.28,22.02,79.109,1.0,0.0,0.0,7,1
0.3,23.6,79.173,1.0,0.0,0.0,7,1
0.32,25.19,79.237,1.0,0.0,0.0,7,1
0.34,26.77,79.301,1.0,0.0,0.0,7,1
0.36,28.36,79.365,1.0,0.0,0.0,7,1
0.38,29.95,79.428,1.0,0.0,0.0,7,1
0.4,31.54,79.491,1.0,0.0,0.0,7,1
0.42,33.13,79.553,1.0,0.0,0.0,7,1
0.44,34.72,79.615,1.0,0.0,0.0,7,1
0.46,36.31,79.677,1.0,0.0,0.0,7,1
0.48,37.91,79.738,1.0,0.0,0.0,7,1
0.5,39.5,79.8,1.0,0.0,0.0,7,1
0.52,41.1,79.861,1.0,0.0,0.0,7,1
0.54,42.7,79.921,1.0,0.0,0.0,7,1
0.56,44.3,79.981,1.0,0.0,0.0,7,1
0.58,45.9,80.041,1.0,0.0,0.0,7,1
0.6,47.5,80.101,1.0,0.0,0.0,7,1
0.62,49.1,80.16,1.0,0.0,0.0,7,1
0.64,50.7,80.219,1.0,0.0,0.0,7,1
0.66,52.31,80.278,1.0,0.0,0.0,7,1
0.68,53.91,80.337,1.0,0.0,0.0,7,1
0.7,55.52,80.395,1.0,0.0,0.0,7,1
0.72,57.13,80.453,1.0,0.0,0.0,7,1
0.74,58.74,80.51,1.0,0.0,0.0,7,1
0.76,60.35,80.568,1.0,0.0,0.0,7,1
0.78,61.96,80.625,1.0,0.0,0.0,7,1
0.8,63.58,80.681,1.0,0.0,0.0,7,1
0.82,65.19,80.738,1.0,0.0,0.0,7,1
0.84,66.8,80.794,1.0,0.0,0.0,7,1
0.86,68.42,80.85,1.0,0.0,0.0,7,1
0.88,70.04,80.905,1.0,0.0,0.0,7,1
0.9,71.66,80.961,1.0,0.0,0.0,7,1
0.92,73.28,81.016,1.0,0.0,0.0,7,1
0.94,74.9,81.071,1.0,0.0,0.0,7,1
0.96,76.52,81.125,1.0,0.0,0.0,7,1
0.98,78.14,81.179,1.0,0.0,0.0,7,1
1.0,79.77,81.233,1.0,0.0,0.0,7,1
1.02,81.39,81.287,1.0,0.0,0.0,7,1
1.04,83.02,81.34,1.0,0.0,0.0,7,1
1.06,84.65,81.393,1.0,0.0,0.0,7,1
1.08,86.27,81.446,1.0,0.0,0.0,7,1
1.1,87.9,81.499,1.0,0.0,0.0,7,1
1.12,89.53,81.551,1.0,0.0,0.0,7,1
1.14,91.17,81.603,1.0,0.0,0.0,7,1
1.16,92.8,81.655,1.0,0.0,0.0,7,1
1.18,94.43,81.706,1.0,0.0,0.0,7,1
1.2,96.07,81.758,1.0,0.0,0.0,7,1
1.22,97.7,81.809,1.0,0.0,0.0,7,1
1.24,99.34,81.859,1.0,0.0,0.0,7,1
1.26,100.98,81.91,1.0,0.0,0.0,7,1
1.28,102.62,81.96,1.0,0.0,0.0,7,1
1.3,104.26,82.01,1.0,0.0,0.0,7,1
1.32,105.9,82.06,1.0,0.0,0.0,7,1
1.34,107.54,82.109,1.0,0.0,0.0,7,1
1.36,109.18,82.159,1.0,0.0,0.0,7,1
1.38,110.82,82.208,1.0,0.0,0.0,7,1
1.4,112.47,82.256,1.0,0.0,0.0,7,1
1.42,114.11,82.305,1.0,0.0,0.0,7,1
1.44,115.76,82.353,1.0,0.0,0.0,7,1
1.46,117.41,82.401,1.0,0.0,0.0,7,1
1.48,119.06,82.449,1.0,0.0,0.0,7,1
1.5,120.71,82.496,1.0,0.0,0.0,7,1
1.52,122.36,82.544,1.0,0.0,0.0,7,1
1.54,124.01,82.591,1.0,0.0,0.0,7,1
1.56,125.66,82.638,1.0,0.0,0.0,7,1
1.58,127.31,82.684,1.0,0.0,0.0,7,1
1.6,128.97,82.731,1.0,0.0,0.0,7,1
1.62,130.62,82.777,1.0,0.0,0.0,7,1
1.64,132.28,82.823,1.0,0.0,0.0,7,1
1.66,133.94,82.868,1.0,0.0,0.0,7,1
1.68,135.59,82.914,1.0,0.0,0.0,7,1
1.7,137.25,82.959,1.0,0.0,0.0,7,1
1.72,138.91,83.004,1.0,0.0,0.0,8,1
1.74,140.57,83.049,1.0,0.0,0.0,8,1
1.76,142.23,83.093,1.0,0.0,0.0,8,1
1.78,143.9,83.137,1.0,0.0,0.0,8,1
1.8,145.56,83.182,1.0,0.0,0.0,8,1
1.82,147.22,83.225,1.0,0.0,0.0,8,1
1.84,148.89,83.269,1.0,0.0,0.0,8,1
1.86,150.55,83.312,1.0,0.0,0.0,8,1
1.88,152.22,83.356,1.0,0.0,0.0,8,1
1.9,153.89,83.399,1.0,0.0,0.0,8,1
1.92,155.56,83.441,1.0,0.0,0.0,8,1
1.94,157.23,83.484,1.0,0.0,0.0,8,1
1.96,158.9,83.526,1.0,0.0,0.0,8,1
1.98,160.57,83.568,1.0,0.0,0.0,8,1
2.0,162.24,83.61,1.0,0.0,0.0,8,1
2.02,163.91,83.652,1.0,0.0,0.0,8,1
2.04,165.59,83.694,1.0,0.0,0.0,8,1
2.06,167.26,83.735,1.0,0.0,0.0,8,1
2.08,168.93,83.776,1.0,0.0,0.0,8,1
2.1,170.61,83.817,1.0,0.0,0.0,8,1
2.12,172.29,83.858,1.0,0.0,0.0,8,1
2.14,173.96,83.898,1.0,0.0,0.0,8,1
2.16,175.64,83.938,1.0,0.0,0.0,8,1
2.18,177.32,83.978,1.0,0.0,0.0,8,1
2.2,179.0,84.018,1.0,0.0,0.0,8,1
2.22,180.68,84.058,1.0,0.0,0.0,8,1
2.24,182.36,84.097,1.0,0.0,0.0,8,1
2.26,184.05,84.137,1.0,0.0,0.0,8,1
2.28,185.73,84.176,1.0,0.0,0.0,8,1
2.3,187.41,84.215,1.0,0.0,0.0,8,1
2.32,189.1,84.253,1.0,0.0,0.0,8,1
2.34,190.78,84.292,1.0,0.0,0.0,8,1
2.36,192.47,84.33,1.0,0.0,0.0,8,1
2.38,194.16,84.368,1.0,0.0,0.0,8,1
2.4,195.84,84.406,1.0,0.0,0.0,8,1
2.42,197.53,84.444,1.0,0.0,0.0,8,1
2.44,199.22,84.482,1.0,0.0,0.0,8,1
2.46,200.91,84.519,1.0,0.0,0.0,8,1
2.48,202.6,84.556,1.0,0.0,0.0,8,1
2.5,204.29,84.593,1.0,0.0,0.0,8,1
2.52,205.99,84.63,1.0,0.0,0.0,8,1
2.54,207.68,84.666,1.0,0.0,0.0,8,1
2.56,209.37,84.703,1.0,0.0,0.0,8,1
2.58,211.07,84.739,1.0,0.0,0.0,8,1
2.6,212.76,84.775,1.0,0.0,0.0,8,1
2.62,214.46,84.811,1.0,0.0,0.0,8,1
2.64,216.16,84.847,1.0,0.0,0.0,8,1
2.66,217.85,84.882,1.0,0.0,0.0,8,1
2.68,219.55,84.918,1.0,0.0,0.0,8,1
2.7,221.25,84.953,1.0,0.0,0.0,8,1
2.72,222.95,84.988,1.0,0.0,0.0,8,1
2.74,224.65,85.023,1.0,0.0,0.0,8,1
2.76,226.35,85.057,1.0,0.0,0.0,8,1
2.78,228.05,85.092,1.0,0.0,0.0,8,1
2.8,229.75,85.126,1.0,0.0,0.0,8,1
2.82,231.46,85.16,1.0,0.0,0.0,8,1
2.84,233.16,85.194,1.0,0.0,0.0,8,1
2.86,234.86,85.228,1.0,0.0,0.0,8,1
2.88,236.57,85.262,1.0,0.0,0.0,8,1
2.9,238.27,85.295,1.0,0.0,0.0,8,1
2.92,239.98,85.329,1.0,0.0,0.0,8,1
2.94,241.69,85.362,1.0,0.0,0.0,8,1
2.96,243.4,85.395,1.0,0.0,0.0,8,1
2.98,245.1,85.427,1.0,0.0,0.0,8,1
3.0,246.81,85.46,1.0,0.0,0.0,8,1
3.02,248.52,85.493,1.0,0.0,0.0,8,1
3.04,250.23,85.525,1.0,0.0,0.0,8,1
3.06,251.94,85.557,1.0,0.0,0.0,8,1
3.08,253.65,85.589,1.0,0.0,0.0,8,1
3.1,255.37,85.621,1.0,0.0,0.0,8,1
3.12,257.08,85.653,1.0,0.0,0.0,8,1
3.14,258.79,85.684,1.0,0.0,0.0,8,1
3.16,260.51,85.715,1.0,0.0,0.0,8,1
3.18,262.22,85.747,1.0,0.0,0.0,8,1
3.2,263.94,85.778,1.0,0.0,0.0,8,1
3.22,265.65,85.809,1.0,0.0,0.0,8,1
3.24,267.37,85.839,1.0,0.0,0.0,8,1
3.26,269.09,85.87,1.0,0.0,0.0,8,1
3.28,270.8,85.9,1.0,0.0,0.0,8,1
3.3,272.52,85.931,1.0,0.0,0.0,8,1
3.32,274.24,85.961,1.0,0.0,0.0,8,1
3.34,275.96,85.991,1.0,0.0,0.0,8,1
3.36,277.68,86.021,1.0,0.0,0.0,8,1
3.38,279.4,86.05,1.0,0.0,0.0,8,1
3.4,281.12,86.08,1.0,0.0,0.0,8,1
3.42,282.84,86.109,1.0,0.0,0.0,8,1
3.44,284.57,86.138,1.0,0.0,0.0,8,1
3.46,286.29,86.168,1.0,0.0,0.0,8,1
3.48,288.01,86.196,1.0,0.0,0.0,8,1
3.5,289.74,86.225,1.0,0.0,0.0,8,1
3.52,291.46,86.254,1.0,0.0,0.0,8,1
3.54,293.19,86.282,1.0,0.0,0.0,8,1
3.56,294.91,86.311,1.0,0.0,0.0,8,1
3.58,296.64,86.339,1.0,0.0,0.0,8,1
3.6,298.37,86.367,1.0,0.0,0.0,8,1
3.62,300.1,86.395,1.0,0.0,0.0,8,1
3.64,301.82,86.423,1.0,0.0,0.0,8,1
3.66,303.55,86.451,1.0,0.0,0.0,8,1
3.68,305.28,86.478,1.0,0.0,0.0,8,1
3.7,307.01,86.506,1.0,0.0,0.0,8,1
3.72,308.74,86.533,1.0,0.0,0.0,8,1
3.74,310.47,86.56,1.0,0.0,0.0,8,1
3.76,312.2,86.587,1.0,0.0,0.0,8,1
3.78,313.94,86.614,1.0,0.0,0.0,8,1
3.8,315.67,86.641,1.0,0.0,0.0,8,1
3.82,317.4,86.667,1.0,0.0,0.0,8,1
3.84,319.14,86.694,1.0,0.0,0.0,8,1
3.86,320.87,86.72,1.0,0.0,0.0,8,1
3.88,322.6,86.746,1.0,0.0,0.0,8,1
3.9,324.34,86.772,1.0,0.0,0.0,8,1
3.92,326.08,86.798,1.0,0.0,0.0,8,1
3.94,327.81,86.824,1.0,0.0,0.0,8,1
3.96,329.55,86.85,1.0,0.0,0.0,8,1
3.98,331.29,86.875,1.0,0.0,0.0,8,1
4.0,333.02,86.901,1.0,0.0,0.0,8,1
4.02,334.76,86.926,1.0,0.0,0.0,8,1
4.04,336.5,86.951,1.0,0.0,0.0,8,1
4.06,338.24,86.976,1.0,0.0,0.0,8,1
4.08,339.98,87.001,1.0,0.0,0.0,8,1
4.1,341.72,87.026,1.0,0.0,0.0,8,1
4.12,343.46,87.051,1.0,0.0,0.0,8,1
4.14,345.2,87.075,1.0,0.0,0.0,8,1
4.16,346.94,87.1,1.0,0.0,0.0,8,1
4.18,348.69,87.124,1.0,0.0,0.0,8,1
4.2,350.43,87.148,1.0,0.0,0.0,8,1
4.22,352.17,87.172,1.0,0.0,0.0,8,1
4.24,353.92,87.196,1.0,0.0,0.0,8,1
4.26,355.66,87.22,1.0,0.0,0.0,8,1
4.28,357.4,87.244,1.0,0.0,0.0,8,1
4.3,359.15,87.267,1.0,0.0,0.0,8,1
4.32,360.89,87.291,1.0,0.0,0.0,8,1
4.34,362.64,87.314,1.0,0.0,0.0,8,1
4.36,364.39,87.337,1.0,0.0,0.0,8,1
4.38,366.13,87.361,1.0,0.0,0.0,8,1
4.4,367.88,87.384,1.0,0.0,0.0,8,1
4.42,369.63,87.406,1.0,0.0,0.0,8,1
4.44,371.38,87.429,1.0,0.0,0.0,8,1
4.46,373.13,87.452,1.0,0.0,0.0,8,1
4.48,374.88,87.475,1.0,0.0,0.0,8,1
4.5,376.63,87.497,1.0,0.0,0.0,8,1
4.52,378.38,87.519,1.0,0.0,0.0,8,1
4.54,380.13,87.542,1.0,0.0,0.0,8,1
4.56,381.88,87.564,1.0,0.0,0.0,8,1
4.58,383.63,87.586,1.0,0.0,0.0,8,1
4.6,385.38,87.608,1.0,0.0,0.0,8,1
4.62,387.13,87.629,1.0,0.0,0.0,8,1
4.64,388.89,87.651,1.0,0.0,0.0,8,1
4.66,390.64,87.673,1.0,0.0,0.0,8,1
4.68,392.39,87.694,1.0,0.0,0.0,8,1
4.7,394.15,87.715,1.0,0.0,0.0,8,1
4.72,395.9,87.737,1.0,0.0,0.0,8,1
4.74,397.66,87.758,1.0,0.0,0.0,8,1
4.76,399.41,87.779,1.0,0.0,0.0,8,1
4.78,401.17,87.8,1.0,0.0,0.0,8,1
4.8,402.92,87.821,1.0,0.0,0.0,8,1
4.82,404.68,87.841,1.0,0.0,0.0,8,1
4.84,406.44,87.862,1.0,0.0,0.0,8,1
4.86,408.19,87.883,1.0,0.0,0.0,8,1
4.88,409.95,87.903,1.0,0.0,0.0,8,1
4.9,411.71,87.923,1.0,0.0,0.0,8,1
4.92,413.47,87.944,1.0,0.0,0.0,8,1
4.94,415.23,87.964,1.0,0.0,0.0,8,1
4.96,416.99,87.984,1.0,0.0,0.0,8,1
4.98,418.75,88.004,1.0,0.0,0.0,8,1
5.0,420.51,88.023,1.0,0.0,0.0,8,1
5.02,422.27,88.043,1.0,0.0,0.0,8,1
5.04,424.03,88.063,1.0,0.0,0.0,8,1
5.06,425.79,88.082,1.0,0.0,0.0,8,1
5.08,427.55,88.102,1.0,0.0,0.0,8,1
5.1,429.32,88.121,1.0,0.0,0.0,8,1
5.12,431.08,88.14,1.0,0.0,0.0,8,1
5.14,432.84,88.159,1.0,0.0,0.0,8,1
5.16,434.6,88.178,1.0,0.0,0.0,8,1
5.18,436.37,88.197,1.0,0.0,0.0,8,1
5.2,438.13,88.216,1.0,0.0,0.0,8,1
5.22,439.9,88.235,1.0,0.0,0.0,8,1
5.24,441.66,88.254,1.0,0.0,0.0,8,1
5.26,443.43,88.272,1.0,0.0,0.0,8,1
5.28,445.19,88.291,1.0,0.0,0.0,8,1
5.3,446.96,88.309,1.0,0.0,0.0,8,1
5.32,448.73,88.327,1.0,0.0,0.0,8,1
5.34,450.49,88.346,1.0,0.0,0.0,8,1
5.36,452.26,88.364,1.0,0.0,0.0,8,1
5.38,454.03,88.382,1.0,0.0,0.0,8,1
5.4,455.79,88.4,1.0,0.0,0.0,8,1
5.42,457.56,88.418,1.0,0.0,0.0,8,1
5.44,459.33,88.435,1.0,0.0,0.0,8,1
5.46,461.1,88.453,1.0,0.0,0.0,8,1
5.48,462.87,88.471,1.0,0.0,0.0,8,1
5.5,464.64,88.488,1.0,0.0,0.0,8,1
5.52,466.41,88.506,1.0,0.0,0.0,8,1
5.54,468.18,88.523,1.0,0.0,0.0,8,1
5.56,469.95,88.54,1.0,0.0,0.0,8,1
5.58,471.72,88.557,1.0,0.0,0.0,8,1
5.6,473.49,88.574,1.0,0.0,0.0,8,1
5.62,475.26,88.591,1.0,0.0,0.0,8,1
5.64,477.04,88.608,1.0,0.0,0.0,8,1
5.66,478.81,88.625,1.0,0.0,0.0,8,1
5.68,480.58,88.642,1.0,0.0,0.0,8,1
5.7,482.35,88.659,1.0,0.0,0.0,8,1
5.72,484.13,88.675,1.0,0.0,0.0,8,1
5.74,485.9,88.692,1.0,0.0,0.0,8,1
5.76,487.67,88.708,1.0,0.0,0.0,8,1
5.78,489.45,88.724,1.0,0.0,0.0,8,1
5.8,491.22,88.741,1.0,0.0,0.0,8,1
5.82,493.0,88.757,1.0,0.0,0.0,8,1
5.84,494.77,88.773,1.0,0.0,0.0,8,1
5.86,496.55,88.789,1.0,0.0,0.0,8,1
5.88,498.33,88.805,1.0,0.0,0.0,8,1
5.9,500.1,88.821,1.0,0.0,0.0,8,1
5.92,501.88,88.836,1.0,0.0,0.0,8,1
5.94,503.66,88.852,1.0,0.0,0.0,8,1
5.96,505.43,88.868,1.0,0.0,0.0,8,1
5.98,507.21,88.883,1.0,0.0,0.0,8,1
6.0,508.99,88.899,1.0,0.0,0.0,8,1
6.02,510.77,88.914,1.0,0.0,0.0,8,1
6.04,512.54,88.929,1.0,0.0,0.0,8,1
6.06,514.32,88.945,1.0,0.0,0.0,8,1
6.08,516.1,88.96,1.0,0.0,0.0,8,1
6.1,517.88,88.975,1.0,0.0,0.0,8,1
6.12,519.66,88.99,1.0,0.0,0.0,8,1
6.14,521.44,89.005,1.0,0.0,0.0,8,1
6.16,523.22,89.02,1.0,0.0,0.0,8,1
6.18,525.0,89.034,1.0,0.0,0.0,8,1
6.2,526.78,89.049,1.0,0.0,0.0,8,1
6.22,528.56,89.064,1.0,0.0,0.0,8,1
6.24,530.34,89.078,1.0,0.0,0.0,8,1
6.26,532.13,89.093,1.0,0.0,0.0,8,1
6.28,533.91,89.107,1.0,0.0,0.0,8,1
6.3,535.69,89.121,1.0,0.0,0.0,8,1
6.32,537.47,89.136,1.0,0.0,0.0,8,1
6.34,539.26,89.15,1.0,0.0,0.0,8,1
6.36,541.04,89.164,1.0,0.0,0.0,8,1
6.38,542.82,89.178,1.0,0.0,0.0,8,1
6.4,544.61,89.192,1.0,0.0,0.0,8,1
6.42,546.39,89.206,1.0,0.0,0.0,8,1
6.44,548.17,89.22,1.0,0.0,0.0,8,1
6.46,549.96,89.234,1.0,0.0,0.0,8,1
6.48,551.74,89.247,1.0,0.0,0.0,8,1
6.5,553.53,89.261,1.0,0.0,0.0,8,1
6.52,555.31,89.275,1.0,0.0,0.0,8,1
6.54,557.1,89.288,1.0,0.0,0.0,8,1
6.56,558.89,89.302,1.0,0.0,0.0,8,1
6.58,560.67,89.315,1.0,0.0,0.0,8,1
6.6,562.46,89.328,1.0,0.0,0.0,8,1
6.62,564.25,89.342,1.0,0.0,0.0,8,1
6.64,566.03,89.355,1.0,0.0,0.0,8,1
6.66,567.82,89.368,1.0,0.0,0.0,8,1
6.68,569.61,89.381,1.0,0.0,0.0,8,1
6.7,571.39,89.394,1.0,0.0,0.0,8,1
6.72,573.18,89.407,1.0,0.0,0.0,8,1
6.74,574.97,89.42,1.0,0.0,0.0,8,1
6.76,576.76,89.432,1.0,0.0,0.0,8,1
6.78,578.55,89.445,1.0,0.0,0.0,8,1
6.8,580.34,89.458,1.0,0.0,0.0,8,1
6.82,582.13,89.47,1.0,0.0,0.0,8,1
6.84,583.92,89.483,1.0,0.0,0.0,8,1
6.86,585.71,89.495,1.0,0.0,0.0,8,1
6.88,587.5,89.508,1.0,0.0,0.0,8,1
6.9,589.29,89.52,1.0,0.0,0.0,8,1
6.92,591.08,89.533,0.0,0.007,0.0,8,1
6.94,592.87,89.223,0.0,0.516,0.0,8,1
6.96,594.64,88.545,0.0,0.791,0.0,8,1
6.98,596.41,87.865,0.0,0.796,0.0,8,1
7.0,598.16,87.185,0.0,0.799,0.0,8,1
7.02,599.9,86.505,0.0,0.802,0.0,8,1
7.04,601.62,85.825,0.0,0.805,0.0,8,1
7.06,603.33,85.145,0.0,0.808,0.0,8,1
7.08,605.02,84.465,0.0,0.811,0.0,8,1
7.1,606.71,83.785,0.0,0.814,0.0,8,1
7.12,608.38,83.105,0.0,0.817,0.0,8,1
7.14,610.03,82.425,0.0,0.82,0.0,7,1
7.16,611.67,81.745,0.0,0.823,0.0,7,1
7.18,613.3,81.065,0.0,0.826,0.0,7,1
7.2,614.92,80.385,0.0,0.829,0.0,7,1
7.22,616.52,79.705,0.0,0.832,0.0,7,1
7.24,618.1,79.025,0.0,0.835,0.0,7,1
7.26,619.68,78.345,0.0,0.838,0.0,7,1
