# schema_version: 1
# lap: 5
# driver: 0822
# phase: coached
# setup: apex-study-v1
# source: torcs:human-1-1787394301-10916-1.csv | car: Player | race_lap: 5 | measured_lap_time: 128.194
# sector: derived as thirds of track length (TORCS exports no sectors)
t,dist,speed,throttle,brake,steer,gear,sector,x,y,track_pos,damage,wall_clock_s
0.0,0.454,37.2902,1.0,0.0,0.0,3,1,386.129,485.535,0.1979,37373,1787394821.073
0.022,1.275,37.3854,1.0,0.0,0.0,3,1,386.95,485.548,0.2005,37373,1787394821.0731
0.044,2.098,37.4271,0.9647,0.0,0.0,3,1,387.773,485.561,0.203,37373,1787394821.0733
0.066,2.922,37.442,0.7305,0.0,0.0,3,1,388.597,485.573,0.2056,37373,1787394821.0734
0.088,3.746,37.5225,0.8558,0.0,-0.0268,3,1,389.421,485.586,0.2081,37373,1787394821.1833
0.11,4.573,37.6517,1.0,0.0,-0.0536,3,1,390.248,485.598,0.2106,37373,1787394821.1834
0.132,5.402,37.7595,1.0,0.0,-0.0804,3,1,391.078,485.609,0.2126,37373,1787394821.1836
0.154,6.234,37.8585,0.9936,0.0,-0.1072,3,1,391.91,485.615,0.214,37373,1787394821.1837
0.176,7.068,37.9503,0.9692,0.0,-0.134,3,1,392.743,485.617,0.2144,37373,1787394821.1838
0.198,7.904,38.0351,0.9436,0.0,-0.1607,3,1,393.579,485.613,0.2135,37373,1787394821.2935
0.22,8.742,38.1124,0.9168,0.0,-0.1875,3,1,394.417,485.602,0.2114,37373,1787394821.2938
0.242,9.581,38.1797,0.8889,0.0,-0.2143,3,1,395.256,485.585,0.2078,37373,1787394821.294
0.264,10.421,38.221,0.8599,0.0,-0.2411,3,1,396.096,485.559,0.2028,37373,1787394821.2942
0.286,11.262,38.2635,0.8297,0.0,-0.2679,3,1,396.937,485.527,0.1962,37373,1787394821.2944
0.308,12.103,38.2976,1.0,0.0,0.0,3,1,397.778,485.485,0.188,37373,1787394821.4025
0.33,12.945,38.3606,1.0,0.0,0.0,3,1,398.62,485.435,0.1779,37373,1787394821.4026
0.352,13.788,38.4481,1.0,0.0,0.0,3,1,399.463,485.379,0.1666,37373,1787394821.4028
0.374,14.632,38.5337,1.0,0.0,0.0,3,1,400.307,485.314,0.1538,37373,1787394821.4029
0.396,15.478,38.6188,1.0,0.0,0.0,3,1,401.153,485.242,0.1392,37373,1787394821.403
0.418,16.324,38.7058,1.0,0.0,0.0,3,1,402.0,485.16,0.123,37373,1787394821.5073
0.44,17.172,38.7958,1.0,0.0,0.0,3,1,402.848,485.072,0.1053,37373,1787394821.5076
0.462,18.022,38.8866,1.0,0.0,0.0,3,1,403.697,484.977,0.0864,37373,1787394821.5078
0.484,18.872,38.9656,1.0,0.0,0.0,3,1,404.548,484.878,0.0665,37373,1787394821.5081
0.506,19.724,39.056,1.0,0.0,0.0,3,1,405.4,484.775,0.0459,37373,1787394821.5083
0.528,20.578,39.1531,1.0,0.0,0.0,3,1,406.254,484.67,0.0249,37373,1787394821.6183
0.55,21.434,39.2478,1.0,0.0,0.0,3,1,407.109,484.563,0.0035,37373,1787394821.6185
0.572,22.292,39.3413,1.0,0.0,0.0,3,1,407.967,484.455,-0.0181,37373,1787394821.6187
0.594,23.151,39.4337,1.0,0.0,0.0,3,1,408.826,484.345,-0.0401,37373,1787394821.6188
0.616,24.013,39.5252,1.0,0.0,0.0,3,1,409.688,484.235,-0.0622,37373,1787394821.6189
0.638,24.876,39.6157,1.0,0.0,0.0,3,1,410.551,484.123,-0.0844,37373,1787394821.7322
0.66,25.741,39.7052,1.0,0.0,0.0,3,1,411.417,484.012,-0.1067,37373,1787394821.7323
0.682,26.609,39.794,1.0,0.0,0.0,3,1,412.284,483.9,-0.1292,37373,1787394821.7324
0.704,27.478,39.8708,1.0,0.0,0.0,3,1,413.153,483.787,-0.1517,37373,1787394821.7325
0.726,28.348,39.9594,1.0,0.0,0.0,3,1,414.023,483.674,-0.1742,37373,1787394821.7327
0.748,29.221,40.0513,1.0,0.0,0.0,3,1,414.896,483.561,-0.1969,37373,1787394821.8392
0.77,30.096,40.1413,1.0,0.0,0.0,3,1,415.771,483.448,-0.2195,37373,1787394821.8395
0.792,30.972,40.2301,1.0,0.0,0.0,3,1,416.647,483.334,-0.2423,37373,1787394821.8397
0.814,31.851,40.3181,1.0,0.0,0.0,3,1,417.526,483.22,-0.265,37373,1787394821.8398
0.836,32.731,40.4051,1.0,0.0,0.0,3,1,418.407,483.106,-0.2879,37373,1787394821.84
0.858,33.614,40.4912,1.0,0.0,0.0,3,1,419.289,482.992,-0.3108,37373,1787394821.9475
0.88,34.498,40.5764,1.0,0.0,0.0,3,1,420.173,482.877,-0.3337,37373,1787394821.9477
0.902,35.384,40.661,1.0,0.0,0.0,3,1,421.059,482.762,-0.3567,37373,1787394821.9478
0.924,36.271,40.7343,1.0,0.0,0.0,3,1,421.947,482.647,-0.3797,37373,1787394821.948
0.946,37.161,40.8207,1.0,0.0,0.0,3,1,422.836,482.532,-0.4028,37373,1787394821.9483
0.968,38.052,40.9073,1.0,0.0,0.0,3,1,423.728,482.416,-0.4259,37373,1787394822.063
0.99,38.946,40.9922,1.0,0.0,0.0,3,1,424.621,482.3,-0.449,37373,1787394822.0631
1.012,39.841,41.0765,1.0,0.0,0.0,3,1,425.516,482.184,-0.4723,37373,1787394822.0633
1.034,40.737,41.1599,1.0,0.0,0.0,3,1,426.413,482.068,-0.4955,37373,1787394822.0634
1.056,41.636,41.2424,1.0,0.0,0.0,3,1,427.311,481.951,-0.5188,37373,1787394822.0635
1.078,42.537,41.3241,1.0,0.0,0.0,3,1,428.212,481.834,-0.5422,37373,1787394822.17
1.1,43.439,41.4051,1.0,0.0,0.0,3,1,429.114,481.717,-0.5656,37373,1787394822.1702
1.122,44.343,41.4823,1.0,0.0,0.0,3,1,430.018,481.6,-0.589,37373,1787394822.1703
1.144,45.248,41.5573,1.0,0.0,0.0,3,1,430.923,481.483,-0.6125,37373,1787394822.1705
1.166,46.156,41.6394,1.0,0.0,0.0,3,1,431.831,481.365,-0.6361,37373,1787394822.1706
1.188,47.064,41.7208,1.0,0.0,0.0,3,1,432.74,481.247,-0.6596,37373,1787394822.2848
1.21,47.975,41.8011,1.0,0.0,0.0,3,1,433.65,481.129,-0.6833,37373,1787394822.285
1.232,48.888,41.8807,1.0,0.0,0.0,3,1,434.563,481.011,-0.707,37373,1787394822.2852
1.254,49.802,41.9597,1.0,0.0,0.0,3,1,435.477,480.892,-0.7307,37373,1787394822.2853
1.276,50.718,42.0378,1.0,0.0,0.0,3,1,436.393,480.773,-0.7544,37373,1787394822.2854
1.298,51.636,42.1151,1.0,0.0,0.0267,3,1,437.311,480.654,-0.7782,37373,1787394822.3979
1.32,52.555,42.1915,1.0,0.0,0.0534,3,1,438.23,480.536,-0.802,37373,1787394822.3981
1.342,53.476,42.2593,1.0,0.0,0.0801,3,1,439.151,480.419,-0.8254,37373,1787394822.3984
1.364,54.399,42.3326,0.9939,0.0,0.1068,3,1,440.074,480.305,-0.8481,37373,1787394822.3986
1.386,55.324,42.4006,0.9696,0.0,0.1335,3,1,441.0,480.195,-0.8701,37373,1787394822.3987
1.408,56.252,42.4524,1.0,0.0,0.0,3,1,441.927,480.092,-0.8908,37373,1787394822.512
1.43,57.181,42.5112,1.0,0.0,0.0,3,1,442.856,479.993,-0.9104,37373,1787394822.5122
1.452,58.112,42.5857,1.0,0.0,0.0,3,1,443.787,479.898,-0.9294,37373,1787394822.5124
1.474,59.045,42.6672,1.0,0.0,0.0,3,1,444.72,479.808,-0.9476,37373,1787394822.5133
1.496,59.98,42.7505,1.0,0.0,0.0,3,1,445.655,479.72,-0.965,37373,1787394822.5135
1.518,60.917,42.8271,1.0,0.0,0.0,3,1,446.592,479.636,-0.9819,37373,1787394822.5137
1.54,61.856,42.8921,1.0,0.0,0.0,3,1,447.531,479.554,-0.9983,37373,1787394822.6283
1.562,62.796,42.9642,1.0,0.0,0.0,3,1,448.471,479.473,-1.0145,37373,1787394822.6284
1.584,63.738,43.0388,1.0,0.0,0.0,3,1,449.413,479.393,-1.0306,37373,1787394822.6286
1.606,64.681,43.1115,1.0,0.0,0.0,3,1,450.357,479.313,-1.0465,37373,1787394822.6287
1.628,65.627,43.1812,1.0,0.0,0.0,3,1,451.302,479.233,-1.0624,37373,1787394822.6288
1.65,66.573,43.2444,1.0,0.0,0.0,3,1,452.249,479.154,-1.0783,37373,1787394822.7412
1.672,67.522,43.3151,1.0,0.0,0.0,3,1,453.197,479.075,-1.0941,37373,1787394822.7415
1.694,68.472,43.3856,1.0,0.0,0.0,3,1,454.147,478.996,-1.11,37373,1787394822.7417
1.716,69.423,43.4551,1.0,0.0,0.0,3,1,455.098,478.916,-1.1258,37373,1787394822.7419
1.738,70.376,43.5237,1.0,0.0,0.0,3,1,456.051,478.837,-1.1417,37373,1787394822.7421
1.76,71.33,43.5898,1.0,0.0,0.0,3,1,457.005,478.757,-1.1576,37373,1787394822.8564
1.782,72.286,43.6658,1.0,0.0,0.0,3,1,457.961,478.678,-1.1735,37373,1787394822.8565
1.804,73.243,43.7313,1.0,0.0,0.0,3,1,458.919,478.598,-1.1895,37373,1787394822.8566
1.826,74.202,43.786,1.0,0.0,0.0,3,1,459.877,478.518,-1.2055,37373,1787394822.8568
1.848,75.162,43.843,1.0,0.0,0.0,3,1,460.837,478.438,-1.2215,37373,1787394822.8569
1.87,76.123,43.9053,1.0,0.0,0.0,3,1,461.798,478.358,-1.2375,37373,1787394822.9701
1.892,77.086,43.9727,1.0,0.0,0.0,3,1,462.761,478.278,-1.2536,37373,1787394822.9703
1.914,78.05,44.0405,1.0,0.0,0.0,3,1,463.725,478.197,-1.2696,37373,1787394822.9706
1.936,79.016,44.1093,1.0,0.0,0.0,3,1,464.691,478.117,-1.2857,37373,1787394822.9708
1.958,79.983,44.1533,1.0,0.0,0.0,3,1,465.658,478.037,-1.3017,37373,1787394822.971
1.98,80.951,44.2072,1.0,0.0,0.0,3,1,466.626,477.957,-1.3178,37373,1787394823.0838
2.002,81.921,44.2707,1.0,0.0,0.0,3,1,467.596,477.876,-1.3338,37373,1787394823.084
2.024,82.891,44.3347,1.0,0.0,0.0,3,1,468.567,477.796,-1.3499,37373,1787394823.0841
2.046,83.864,44.4065,1.0,0.0,0.0,3,1,469.539,477.716,-1.3659,37373,1787394823.0843
2.068,84.837,44.4709,1.0,0.0,0.0,3,1,470.512,477.636,-1.3819,37373,1787394823.0844
2.09,85.812,44.5227,1.0,0.0,0.0,3,1,471.487,477.556,-1.398,37373,1787394823.0845
2.112,86.788,44.5685,1.0,0.0,0.0,3,1,472.463,477.475,-1.414,37373,1787394823.1955
2.134,87.765,44.6307,1.0,0.0,0.0,3,1,473.44,477.395,-1.4301,37373,1787394823.1957
2.156,88.743,44.6814,1.0,0.0,0.0,3,1,474.419,477.315,-1.4461,37373,1787394823.1958
2.178,89.723,44.7476,1.0,0.0,0.0,3,1,475.398,477.235,-1.4622,37373,1787394823.1959
2.2,90.704,44.8075,1.0,0.0,0.0,3,1,476.379,477.154,-1.4782,37373,1787394823.196
2.222,91.686,44.8543,1.0,0.0,0.0,3,1,477.361,477.074,-1.4943,37373,1787394823.3074
2.244,92.669,44.9008,1.0,0.0,0.0,3,1,478.344,476.994,-1.5103,37373,1787394823.3077
2.266,93.653,44.9395,1.0,0.0,0.0,4,1,479.329,476.914,-1.5264,37373,1787394823.3078
2.288,94.638,44.9779,1.0,0.0,0.0,4,1,480.313,476.833,-1.5424,37373,1787394823.308
2.31,95.624,45.0231,1.0,0.0,0.0,4,1,481.299,476.753,-1.5585,37373,1787394823.3081
2.332,96.611,45.072,1.0,0.0,0.0,4,1,482.286,476.673,-1.5745,37373,1787394823.4212
2.354,97.599,45.1064,1.0,0.0,0.0,4,1,483.274,476.593,-1.5905,37373,1787394823.4215
2.376,98.588,45.1462,1.0,0.0,0.0,4,1,484.263,476.513,-1.6066,37373,1787394823.4217
2.398,99.578,45.1893,1.0,0.0,0.0,4,1,485.253,476.432,-1.6226,37373,1787394823.4218
2.42,100.569,45.2373,1.0,0.0,0.0,4,1,486.244,476.352,-1.6387,37373,1787394823.4221
2.442,101.56,45.2907,1.0,0.0,0.0267,4,1,487.236,476.272,-1.6547,37373,1787394823.5361
2.464,102.553,45.3422,1.0,0.0,0.0533,4,1,488.229,476.192,-1.6707,37373,1787394823.5364
2.486,103.547,45.3878,1.0,0.0,0.08,4,1,489.223,476.115,-1.6862,37373,1787394823.5366
2.508,104.543,45.4266,0.9941,0.0,0.1066,4,1,490.218,476.04,-1.701,37373,1787394823.5368
2.53,105.539,45.4507,0.9698,0.0,0.1333,4,1,491.214,475.971,-1.7149,37373,1787394823.537
2.552,106.537,45.4801,0.9444,0.0,0.1599,4,1,492.212,475.908,-1.7275,37373,1787394823.6504
2.574,107.535,45.506,0.9178,0.0,0.1866,4,1,493.21,475.853,-1.7385,37373,1787394823.6505
2.596,108.534,45.5233,0.8901,0.0,0.2132,4,1,494.21,475.806,-1.7478,37373,1787394823.6507
2.618,109.534,45.5241,0.8613,0.0,0.2399,4,1,495.209,475.77,-1.7551,37373,1787394823.6508
2.64,110.534,45.5043,0.8313,0.0,0.2665,4,1,496.209,475.744,-1.7603,37373,1787394823.6509
2.662,111.534,45.4743,1.0,0.0,0.0,4,1,497.209,475.729,-1.7633,37373,1787394823.7657
2.684,112.533,45.4718,1.0,0.0,0.0,4,1,498.209,475.724,-1.7642,37373,1787394823.7658
2.706,113.533,45.5025,1.0,0.0,0.0,4,1,499.209,475.728,-1.7634,37373,1787394823.766
2.728,114.534,45.5226,1.0,0.0,0.0,4,1,500.209,475.742,-1.7607,37373,1787394823.7661
2.75,115.534,45.5456,1.0,0.0,0.0,4,1,501.21,475.765,-1.7561,37373,1787394823.7663
2.772,116.536,45.5705,1.0,0.0,0.0,4,1,502.211,475.798,-1.7495,37373,1787394823.7664
2.794,117.537,45.5982,1.0,0.0,0.0,4,1,503.212,475.84,-1.741,37373,1787394823.8836
2.816,118.538,45.6263,1.0,0.0,0.0,4,1,504.213,475.892,-1.7306,37373,1787394823.8838
2.838,119.54,45.6593,1.0,0.0,0.0,4,1,505.215,475.953,-1.7184,37373,1787394823.884
2.86,120.542,45.6956,1.0,0.0,0.0,4,1,506.217,476.022,-1.7047,37373,1787394823.8841
2.882,121.544,45.7311,1.0,0.0,0.0,4,1,507.219,476.096,-1.6899,37373,1787394823.8843
2.904,122.547,45.7762,1.0,0.0,0.0,4,1,508.222,476.175,-1.674,37373,1787394823.9961
2.926,123.55,45.8276,1.0,0.0,0.0,4,1,509.225,476.259,-1.6574,37373,1787394823.9962
2.948,124.554,45.8753,1.0,0.0,0.0,4,1,510.229,476.345,-1.6402,37373,1787394823.9964
2.97,125.558,45.9166,1.0,0.0,0.0,4,1,511.234,476.433,-1.6225,37373,1787394823.9965
2.992,126.564,45.9541,1.0,0.0,0.0,4,1,512.239,476.523,-1.6045,37373,1787394823.9966
3.014,127.57,45.9895,1.0,0.0,0.0,4,1,513.245,476.615,-1.5862,37373,1787394824.1121
3.036,128.577,46.0259,1.0,0.0,0.0,4,1,514.252,476.707,-1.5677,37373,1787394824.1123
