# schema_version: 1
# synthetic lap from scripts/make_sample_session.py — not real sim data
t,dist,speed,throttle,brake,steer,gear,sector
0.0,0.0,77.969,1.0,0.0,0.0,7,1
0.02,1.56,78.039,1.0,0.0,0.0,7,1
0.04,3.12,78.109,1.0,0.0,0.0,7,1
0.06,4.68,78.178,1.0,0.0,0.0,7,1
0.08,6.25,78.248,1.0,0.0,0.0,7,1
0.1,7.81,78.316,1.0,0.0,0.0,7,1
0.12,9.38,78.385,1.0,0.0,0.0,7,1
0.14,10.95,78.453,1.0,0.0,0.0,7,1
0.16,12.52,78.521,1.0,0.0,0.0,7,1
0.18,14.09,78.588,1.0,0.0,0.0,7,1
0.2,15.66,78.655,1.0,0.0,0.0,7,1
0.22,17.24,78.722,1.0,0.0,0.0,7,1
0.24,18.81,78.788,1.0,0.0,0.0,7,1
0.26,20.39,78.854,1.0,0.0,0.0,7,1
0.28,21.97,78.92,1.0,0.0,0.0,7,1
0.3,23.55,78.985,1.0,0.0,0.0,7,1
0.32,25.13,79.05,1.0,0.0,0.0,7,1
0.34,26.71,79.115,1.0,0.0,0.0,7,1
0.36,28.29,79.179,1.0,0.0,0.0,7,1
0.38,29.87,79.243,1.0,0.0,0.0,7,1
0.4,31.46,79.307,1.0,0.0,0.0,7,1
0.42,33.05,79.37,1.0,0.0,0.0,7,1
0.44,34.63,79.433,1.0,0.0,0.0,7,1
0.46,36.22,79.496,1.0,0.0,0.0,7,1
0.48,37.81,79.559,1.0,0.0,0.0,7,1
0.5,39.41,79.621,1.0,0.0,0.0,7,1
0.52,41.0,79.682,1.0,0.0,0.0,7,1
0.54,42.59,79.744,1.0,0.0,0.0,7,1
0.56,44.19,79.805,1.0,0.0,0.0,7,1
0.58,45.79,79.866,1.0,0.0,0.0,7,1
0.6,47.38,79.927,1.0,0.0,0.0,7,1
0.62,48.98,79.987,1.0,0.0,0.0,7,1
0.64,50.58,80.047,1.0,0.0,0.0,7,1
0.66,52.18,80.106,1.0,0.0,0.0,7,1
0.68,53.79,80.166,1.0,0.0,0.0,7,1
0.7,55.39,80.225,1.0,0.0,0.0,7,1
0.72,57.0,80.284,1.0,0.0,0.0,7,1
