# schema_version: 1
# lap: 4
# driver: 0821
# phase: baseline
# setup: apex-study-v1
# source: torcs:telemetry.csv | car: Player | race_lap: 4 | measured_lap_time: 122.980
# sector: derived as thirds of track length (TORCS exports no sectors)
t,dist,speed,throttle,brake,steer,gear,sector,x,y,track_pos,damage
0.0,0.142,50.4869,1.0,0.0,0.0,4,1,385.817,484.401,-0.0289,0
0.02,1.152,50.5844,1.0,0.0,0.0,4,1,386.827,484.363,-0.0365,0
0.04,2.164,50.6452,1.0,0.0,0.0,4,1,387.839,484.325,-0.044,0
0.06,3.177,50.7196,0.9977,0.0,0.0,4,1,388.852,484.288,-0.0515,0
0.08,4.192,50.8352,1.0,0.0,0.0,4,1,389.867,484.25,-0.059,0
0.1,5.209,50.937,1.0,0.0,0.0,4,1,390.884,484.212,-0.0666,0
0.12,6.228,51.0341,1.0,0.0,0.0,4,1,391.903,484.174,-0.0743,0
0.14,7.249,51.1296,1.0,0.0,0.0,4,1,392.924,484.135,-0.0822,0
0.16,8.272,51.2241,1.0,0.0,0.0,4,1,393.947,484.095,-0.0901,0
0.18,9.296,51.3174,1.0,0.0,0.0,4,1,394.971,484.055,-0.098,0
0.2,10.323,51.4021,1.0,0.0,0.0,4,1,395.998,484.015,-0.1061,0
0.22,11.351,51.4947,1.0,0.0,0.0,4,1,397.026,483.975,-0.1141,0
0.24,12.381,51.5891,1.0,0.0,0.0,4,1,398.056,483.934,-0.1222,0
0.26,13.413,51.683,1.0,0.0,0.0,4,1,399.088,483.894,-0.1304,0
0.28,14.447,51.7764,1.0,0.0,0.0,4,1,400.122,483.853,-0.1385,0
0.3,15.483,51.8695,1.0,0.0,0.0,4,1,401.158,483.812,-0.1467,0
0.32,16.52,51.9624,1.0,0.0,0.0,4,1,402.195,483.771,-0.1548,0
0.34,17.56,52.0546,1.0,0.0,0.0,4,1,403.235,483.73,-0.163,0
0.36,18.601,52.1455,1.0,0.0,0.0,4,1,404.276,483.689,-0.1712,0
0.38,19.644,52.2292,1.0,0.0,0.0,4,1,405.319,483.648,-0.1794,0
0.4,20.688,52.3239,1.0,0.0,0.0,4,1,406.363,483.607,-0.1877,0
0.42,21.735,52.4178,1.0,0.0,0.0,4,1,407.41,483.566,-0.1959,0
0.44,22.783,52.5109,1.0,0.0,0.0,4,1,408.458,483.525,-0.2042,0
0.46,23.833,52.6037,1.0,0.0,0.0,4,1,409.509,483.483,-0.2125,0
0.48,24.886,52.6961,1.0,0.0,0.0,4,1,410.561,483.442,-0.2208,0
0.5,25.94,52.7879,1.0,0.0,0.0,4,1,411.615,483.4,-0.2291,0
